document_number,abstract,agencies,excerpts,html_url,pdf_url,public_inspection_pdf_url,publication_date,title,type
2013-31080,"The U.S. Nuclear Regulatory Commission (NRC) is confirming the effective date of January 7, 2014, for the direct final rule that was published in the Federal Register on October 24, 2013. This direct final rule amended the NRC's spent fuel storage regulations by revising the Transnuclear, Inc. Standardized NUHOMS[supreg] Cask System listing within the ``List of Approved Spent Fuel Storage Casks'' to include Amendment No. 11 to Certificate of Compliance (CoC) No. 1004.","[{'raw_name': 'NUCLEAR REGULATORY COMMISSION', 'name': 'Nuclear Regulatory Commission', 'id': 383, 'url': 'https://www.federalregister.gov/agencies/nuclear-regulatory-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/383.json', 'parent_id': None, 'slug': 'nuclear-regulatory-commission'}]"," &#8230;  on the emergence of <span class=""match"">Lyme</span>'s Disease in <span class=""match"">Lyme</span>, Connecticut, which he &#8230;  mutated, causing the emergence of <span class=""match"">Lyme</span>'s Disease.” 
 The NRC staff &#8230; ",https://www.federalregister.gov/documents/2013/12/27/2013-31080/list-of-approved-spent-fuel-storage-casks-transnuclear-inc-standardized-nuhoms-cask-system,https://www.govinfo.gov/content/pkg/FR-2013-12-27/pdf/2013-31080.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-31080.pdf?1388066328,2013-12-27,"List of Approved Spent Fuel Storage Casks: Transnuclear, Inc. Standardized NUHOMS® Cask System",Rule
2013-26244,"EPA is seeking comment on a repellency awareness graphic for producers of skin-applied insect repellent products to voluntarily place on repellent product labels. This is part of a voluntary, ongoing effort to enhance public health information on, and to improve the clarity of, pesticide product labeling for consumers. Under this effort, producers of skin-applied insect repellent products can seek to use a standardized repellency awareness graphic that will clearly communicate to consumers the estimated number of hours mosquitoes and/ or ticks are repelled by a product when used as directed. With this notice, EPA is also seeking comment on a guidance document that describes the recommended criteria and processes for companies to voluntarily request the use of this graphic.","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]"," &#8230;  as West Nile virus and <span class=""match"">Lyme</span> disease (Ref. 11). 
 IV. Request &#8230; ",https://www.federalregister.gov/documents/2013/11/06/2013-26244/pesticides-repellency-awareness-graphic-notice-of-availability,https://www.govinfo.gov/content/pkg/FR-2013-11-06/pdf/2013-26244.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-26244.pdf?1383659288,2013-11-06,Pesticides; Repellency Awareness Graphic; Notice of Availability,Notice
2013-19380,"We, NMFS, have completed a comprehensive review of the status of river herring (alewife and blueback herring) in response to a petition submitted by the Natural Resources Defense Council (NRDC) requesting that we list alewife (Alosa pseudoharengus) and blueback herring (Alosa aestivalis) as threatened under the Endangered Species Act (ESA) throughout all or a significant portion of their range or as specific distinct population segments (DPS) identified in the petition. The Atlantic States Marine Fisheries Commission (ASMFC) completed a comprehensive stock assessment for river herring in May 2012 which covers over 50 river specific stocks throughout the range of the species in the United States. The ASMFC stock assessment contained much of the information necessary to make an ESA listing determination for both species; however, any deficiencies were addressed through focused workshops and working group meetings and review of additional sources of information. Based on the best scientific and commercial information available, we have determined that listing alewife as threatened or endangered under the ESA is not warranted at this time. Additionally, based on the best scientific and commercial information available, we have determined that listing blueback herring as threatened or endangered under the ESA is not warranted at this time.","[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]"," &#8230;  from Brides Brook in East <span class=""match"">Lyme</span>, CT. Furthermore, an experimental stocking &#8230; ",https://www.federalregister.gov/documents/2013/08/12/2013-19380/endangered-and-threatened-wildlife-and-plants-endangered-species-act-listing-determination-for,https://www.govinfo.gov/content/pkg/FR-2013-08-12/pdf/2013-19380.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-19380.pdf?1376052637,2013-08-12,Endangered and Threatened Wildlife and Plants; Endangered Species Act Listing Determination for Alewife and Blueback Herring,Notice
2013-19051,"The Food and Drug Administration (FDA) is announcing an initiative in the Center for Drug Evaluation and Research (CDER) involving the review of draft guidance documents issued before 2010 to determine their status, and to decide whether those guidances should be withdrawn, revised, or finalized with only minor changes. Guidances that are no longer up to date, and for which more current information is available, will be withdrawn. Guidances that reflect CDER's current thinking, CDER will decide whether to revise or finalize. This notice describes CDER's initiative, announces the first group of guidances to be withdrawn, describes in general terms draft guidances under consideration for revision or finalization, and explains how CDER is making this process as transparent as possible.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]"," &#8230;  bloodstream infections, febrile neutropenia, gonorrhea, <span class=""match"">Lyme</span> disease, streptococcal pharyngitis and tonsillitis &#8230;  Treatment”—issued July 1998. 
 7. “<span class=""match"">Lyme</span> Disease—Developing Antimicrobial Drugs for &#8230; ",https://www.federalregister.gov/documents/2013/08/07/2013-19051/retrospective-review-of-draft-guidance-documents-issued-before-2010-withdrawal-of-guidances,https://www.govinfo.gov/content/pkg/FR-2013-08-07/pdf/2013-19051.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-19051.pdf?1375820692,2013-08-07,Retrospective Review of Draft Guidance Documents Issued Before 2010; Withdrawal of Guidances,Notice
2013-18618,"The Coast Guard will enforce special local regulations for one regatta and seven safety zones for five fireworks displays and two swim events in the Sector Long Island Sound area of responsibility on the dates and times listed in the tables below. This action is necessary to provide for the safety of life on navigable waterways during the events. During the enforcement period, no person or vessel may enter the regulated area or safety zones without permission of the Captain of the Port (COTP) Sector Long Island Sound or designated representative.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  Old Black Point Beach East <span class=""match"">Lyme</span>, CT in approximate position, 41 &#8230; ",https://www.federalregister.gov/documents/2013/08/02/2013-18618/safety-zones-and-special-local-regulations-recurring-marine-events-in-captain-of-the-port-long,https://www.govinfo.gov/content/pkg/FR-2013-08-02/pdf/2013-18618.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-18618.pdf?1375361552,2013-08-02,Safety Zones and Special Local Regulations; Recurring Marine Events in Captain of the Port Long Island Sound Zone,Rule
2013-18135,"This rule identifies communities where the sale of flood insurance has been authorized under the National Flood Insurance Program (NFIP) that are scheduled for suspension on the effective dates listed within this rule because of noncompliance with the floodplain management requirements of the program. If the Federal Emergency Management Agency (FEMA) receives documentation that the community has adopted the required floodplain management measures prior to the effective suspension date given in this rule, the suspension will not occur and a notice of this will be provided by publication in the Federal Register on a subsequent date. Also, information identifying the current participation status of a community can be obtained from FEMA's Community Status Book (CSB). The CSB is available at http:// www.fema.gov/fema/csb.shtm.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'FEDERAL EMERGENCY MANAGEMENT AGENCY', 'name': 'Federal Emergency Management Agency', 'id': 166, 'url': 'https://www.federalregister.gov/agencies/federal-emergency-management-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/166.json', 'parent_id': 227, 'slug': 'federal-emergency-management-agency'}]"," &#8230;  SFHAs 
 
 
 
 Region I 
 
 
 
 
 Connecticut: 
 
 
 East <span class=""match"">Lyme</span>, Town of, New London County &#8230; , 2013, Susp 
 ......do 
   Do. 
 
 
 Old <span class=""match"">Lyme</span>, Town of, New London County &#8230; ",https://www.federalregister.gov/documents/2013/07/29/2013-18135/suspension-of-community-eligibility,https://www.govinfo.gov/content/pkg/FR-2013-07-29/pdf/2013-18135.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-18135.pdf?1374842901,2013-07-29,Suspension of Community Eligibility,Rule
2013-18033,"At various times throughout the month of July, the Coast Guard will enforce certain safety zones located in 33 CFR 165.939. This action is necessary and intended for the safety of life and property on navigable waters during this event. During each enforcement period, no person or vessel may enter the respective safety zone without the permission of the Captain of the Port Buffalo.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  for the following events: 
 (1) <span class=""match"">Lyme</span> Community Days Fireworks, Chaumont, NY &#8230; ",https://www.federalregister.gov/documents/2013/07/26/2013-18033/safety-zones-annual-fireworks-events-in-the-captain-of-the-port-buffalo-zone,https://www.govinfo.gov/content/pkg/FR-2013-07-26/pdf/2013-18033.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-18033.pdf?1374756473,2013-07-26,Safety Zones; Annual Fireworks Events in the Captain of the Port Buffalo Zone,Rule
2013-17233,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]"," &#8230; , Columbus, OH; Fiber QA, Old <span class=""match"">Lyme</span>, CT; Griffith University, Brisbane, Queensland &#8230; ",https://www.federalregister.gov/documents/2013/07/18/2013-17233/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-international,https://www.govinfo.gov/content/pkg/FR-2013-07-18/pdf/2013-17233.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-17233.pdf?1374065552,2013-07-18,Notice Pursuant to the National Cooperative Research and Production Act of 1993-International Electronics Manufacturing Initiative,Notice
2013-13982,"We, the U.S. Fish and Wildlife Service (Service) evaluated the classification status of gray wolves (Canis lupus) currently listed in the contiguous United States and Mexico under the Endangered Species Act of 1973, as amended (Act). Based on our evaluation, we propose to remove the gray wolf from the List of Endangered and Threatened Wildlife but to maintain endangered status for the Mexican wolf by listing it as a subspecies (Canis lupus baileyi). We propose these actions because the best available scientific and commercial information indicates that the currently listed entity is not a valid species under the Act and that the Mexican wolf (C. l. baileyi) is an endangered subspecies. In addition, we recognize recent taxonomic information indicating that the gray wolf subspecies, Canis lupus lycaon, which occurs in southeastern Canada and historically occurred in the northeastern United States and portions of the upper Midwest (eastern and western Great Lakes regions) United States, should be recognized as a separate species, Canis lycaon. This proposed rule also constitutes the completion of a status review for gray wolves in the Pacific Northwest initiated on May 5, 2011. Finally, this proposed rule replaces our May 5, 2011, proposed action to remove protections for C. lupus in all or portions of 29 eastern states (76 FR 26086).","[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Fish and Wildlife Service', 'name': 'Fish and Wildlife Service', 'id': 197, 'url': 'https://www.federalregister.gov/agencies/fish-and-wildlife-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/197.json', 'parent_id': 253, 'slug': 'fish-and-wildlife-service'}]"," &#8230;  significantly affect C. l. nubilus. 
 
 <span class=""match"">Lyme</span> disease, caused by a spirochete &#8230;  ( Tamias striatus ), coyotes, and wolves. <span class=""match"">Lyme</span> disease infections in wolves have &#8230;  Natural Resources 1999, p. 61); <span class=""match"">Lyme</span> disease has not been reported &#8230; ",https://www.federalregister.gov/documents/2013/06/13/2013-13982/endangered-and-threatened-wildlife-and-plants-removing-the-gray-wolf-canis-lupus-from-the-list-of,https://www.govinfo.gov/content/pkg/FR-2013-06-13/pdf/2013-13982.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-13982.pdf?1371041911,2013-06-13,Endangered and Threatened Wildlife and Plants; Removing the Gray Wolf (Canis lupus) From the List of Endangered and Threatened Wildlife and Maintaining Protections for the Mexican Wolf (Canis lupus baileyi) by Listing It as Endangered,Proposed Rule
2013-12392,"The Coast Guard is adding, deleting, and modifying safety zones and special local regulations and adding language to clarify time frames and notification requirements for annual marine events in the Sector Long Island Sound Captain of the Port (COTP) Zone. When these regulated areas are activated and subject to enforcement, this rule will restrict vessels from portions of water areas during these recurring events. The safety zones and special local regulations will facilitate public notification of events and provide protective measures for the maritime public and event participants from the hazards associated with these recurring events.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  Old Black Point Beach East <span class=""match"">Lyme</span>, CT in approximate position, 41 &#8230; ",https://www.federalregister.gov/documents/2013/05/24/2013-12392/safety-zones-and-special-local-regulations-recurring-marine-events-in-captain-of-the-port-long,https://www.govinfo.gov/content/pkg/FR-2013-05-24/pdf/2013-12392.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-12392.pdf?1369313259,2013-05-24,Safety Zones and Special Local Regulations; Recurring Marine Events in Captain of the Port Long Island Sound Zone,Rule
2013-09558,"The Coast Guard is amending and establishing regulations requiring safety zones for firework events that take place annually within the Captain of the Port Zone Buffalo. This final rule is intended to amend and establish restrictions on vessel access to designated areas on U.S. navigable waterways during certain fireworks displays. The safety zones amended and established by this final rule are necessary to protect spectators, participants, and vessels from the hazards associated with fireworks displays.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  of July each year. 
 (4) <span class=""match"">Lyme</span> Community Days, Chaumont, NY. (i &#8230; ",https://www.federalregister.gov/documents/2013/04/23/2013-09558/safety-zones-annual-fireworks-events-in-the-captain-of-the-port-buffalo-zone,https://www.govinfo.gov/content/pkg/FR-2013-04-23/pdf/2013-09558.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-09558.pdf?1366635165,2013-04-23,Safety Zones; Annual Fireworks Events in the Captain of the Port Buffalo Zone,Rule
2013-07747,"The Coast Guard proposes to add, delete, and modify safety zones and special local regulations and add language to clarify time frames and notification requirements for annual marine events in the Sector Long Island Sound Captain of the Port (COTP) Zone. When these regulated areas are activated and subject to enforcement, this rule would restrict vessels from portions of water areas during these recurring events. The safety zones and special local regulations will facilitate public notification of events and provide protective measures for the maritime public and event participants from the hazards associated with these recurring events.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  Old Black Point Beach, East <span class=""match"">Lyme</span>, CT in approximate position, 41 &#8230; ",https://www.federalregister.gov/documents/2013/04/04/2013-07747/safety-zones-and-special-local-regulations-recurring-marine-events-in-captain-of-the-port-long,https://www.govinfo.gov/content/pkg/FR-2013-04-04/pdf/2013-07747.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-07747.pdf?1364993244,2013-04-04,Safety Zones & Special Local Regulations; Recurring Marine Events in Captain of the Port Long Island Sound Zone,Proposed Rule
2013-07085,The Food and Drug Administration (FDA) is announcing the availability of the guidance entitled ``Establishing the Performance Characteristics of In Vitro Diagnostic Devices for the Detection of Antibodies to Borrelia burgdorferi.'' FDA is issuing this guidance to provide industry and Agency staff with recommendations for studies to establish the analytical and clinical performance of in vitro diagnostic devices (IVDs) intended for the detection of antibodies to B. burgdorferi. These devices are used to aid in the diagnosis of Lyme disease.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]"," &#8230;  aid in the diagnosis of <span class=""match"">Lyme</span> disease. 
 
 
 DATES: 
 Submit either electronic &#8230;  aid in the diagnosis of <span class=""match"">Lyme</span> disease. This document does not &#8230; ",https://www.federalregister.gov/documents/2013/03/28/2013-07085/establishing-the-performance-characteristics-of-in-vitro-diagnostic-devices-for-the-detection-of,https://www.govinfo.gov/content/pkg/FR-2013-03-28/pdf/2013-07085.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-07085.pdf?1364388624,2013-03-28,Establishing the Performance Characteristics of In Vitro Diagnostic Devices for the Detection of Antibodies to Borrelia burgdorferi; Guidance for Industry and Food and Drug Administration Staff; Availability,Notice
2013-06561,,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'SURFACE TRANSPORTATION BOARD', 'name': 'Surface Transportation Board', 'id': 481, 'url': 'https://www.federalregister.gov/agencies/surface-transportation-board', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/481.json', 'parent_id': None, 'slug': 'surface-transportation-board'}]"," &#8230; , P.O. Box 687, Old <span class=""match"">Lyme</span>, CT 06371. 
 Board decisions and &#8230; ",https://www.federalregister.gov/documents/2013/03/22/2013-06561/housatonic-railroad-company-inc-maybrook-railroad-company-and-housatonic-transportation,https://www.govinfo.gov/content/pkg/FR-2013-03-22/pdf/2013-06561.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-06561.pdf?1363870649,2013-03-22,"Housatonic Railroad Company, Inc., Maybrook Railroad Company, and Housatonic Transportation Company-Intra-Corporate Family Transaction Exemption",Notice
2013-05523,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]"," &#8230; , Dengue, Hantavirus, Kawasaki Syndrome, Legionellosis, <span class=""match"">Lyme</span> disease, Malaria, Plague, Q Fever &#8230;  
 23 
 12 
 20/60 
 
 
 
 Epidemiologist 
 <span class=""match"">Lyme</span> Disease 
 52 
 385 
 10/60 &#8230; ",https://www.federalregister.gov/documents/2013/03/11/2013-05523/agency-forms-undergoing-paperwork-reduction-act-review,https://www.govinfo.gov/content/pkg/FR-2013-03-11/pdf/2013-05523.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-05523.pdf?1362750434,2013-03-11,Agency Forms Undergoing Paperwork Reduction Act Review,Notice
2013-05184,"Flood hazard determinations, which may include additions or modifications of Base Flood Elevations (BFEs), base flood depths, Special Flood Hazard Area (SFHA) boundaries or zone designations, or regulatory floodways on the Flood Insurance Rate Maps (FIRMs) and where applicable, in the supporting Flood Insurance Study (FIS) reports have been made final for the communities listed in the table below. The FIRM and FIS report are the basis of the floodplain management measures that a community is required either to adopt or to show evidence of having in effect in order to qualify or remain qualified for participation in the Federal Emergency Management Agency's (FEMA's) National Flood Insurance Program (NFIP). In addition, the FIRM and FIS report are used by insurance agents and others to calculate appropriate flood insurance premium rates for buildings and the contents of those buildings.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'FEDERAL EMERGENCY MANAGEMENT AGENCY', 'name': 'Federal Emergency Management Agency', 'id': 166, 'url': 'https://www.federalregister.gov/agencies/federal-emergency-management-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/166.json', 'parent_id': 227, 'slug': 'federal-emergency-management-agency'}]"," &#8230;  06340. 
 
 
 Town of East <span class=""match"">Lyme</span> 
 East <span class=""match"">Lyme</span> Town Hall, 108 Pennsylvanie Avenue &#8230;  of Old <span class=""match"">Lyme</span> 
 Memorial Town Hall, 52 <span class=""match"">Lyme</span> Street, Old <span class=""match"">Lyme</span>, CT 06371 &#8230; ",https://www.federalregister.gov/documents/2013/03/06/2013-05184/final-flood-hazard-determinations,https://www.govinfo.gov/content/pkg/FR-2013-03-06/pdf/2013-05184.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-05184.pdf?1362491954,2013-03-06,Final Flood Hazard Determinations,Notice
2013-03826,"The Coast Guard proposes to amend and establish regulations requiring safety zones for firework events that take place annually within the Captain of the Port Zone Buffalo. This proposed rule is intended to amend and establish restrictions on vessel access to designated areas on U.S. navigable waterways during certain fireworks displays. The safety zones amended and established by this proposed rule are necessary to protect spectators, participants, and vessels from the hazards associated with fireworks displays.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  of July each year. 
 
 (4) <span class=""match"">Lyme</span> Community Days, Chaumont, NY 
 
 (i &#8230; ",https://www.federalregister.gov/documents/2013/02/20/2013-03826/safety-zones-annual-fireworks-events-in-the-captain-of-the-port-buffalo-zone,https://www.govinfo.gov/content/pkg/FR-2013-02-20/pdf/2013-03826.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-03826.pdf?1361281659,2013-02-20,Safety Zones; Annual Fireworks Events in the Captain of the Port Buffalo Zone,Proposed Rule
2012-30021,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]"," &#8230; , Dengue, Hantavirus, Kawasaki Syndrome, Legionellosis, <span class=""match"">Lyme</span> disease, Malaria, Plague, Q Fever &#8230;  
 23 
 12 
 20/60 
 92 
 
 
 <span class=""match"">Lyme</span> Disease 
 Epidemiologist 
 52 
 385 
 10 &#8230; ",https://www.federalregister.gov/documents/2012/12/12/2012-30021/proposed-data-collections-submitted-for-public-comment-and-recommendations,https://www.govinfo.gov/content/pkg/FR-2012-12-12/pdf/2012-30021.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2012-30021.pdf?1355233933,2012-12-12,Proposed Data Collections Submitted for Public Comment and Recommendations,Notice
