document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2015-06722,"The Bureau of Consumer Financial Protection (the ``Bureau'') is issuing a final policy statement (``Final Policy Statement'') to provide guidance on how the Bureau plans to exercise its discretion to disclose publicly unstructured consumer complaint narrative data (``narratives'' or ``consumer narratives'') via its web-based, public facing database (the ``Consumer Complaint Database'' or ``Database''). Only those narratives for which opt-in consumer consent is obtained and a robust personal information scrubbing standard and methodology applied will be eligible for disclosure. The Final Policy Statement supplements and amends the Bureau's existing policy statements establishing and expanding the Consumer Complaint Database.\1\ ---------------------------------------------------------------------------",Final Policy Statement.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2015-03-24,,,Disclosure of Consumer Complaint Narrative Data,[],Notice,Data Mining
2014-30033,"The Office of Natural Resources Revenue (ONRR) proposes to change the regulations governing valuation for royalty purposes of oil and gas produced from Federal onshore and offshore leases and coal produced from Federal and Indian leases. The proposed rule also consolidates definitions for oil, gas, and coal product valuation into one subpart applicable to the Federal oil and gas and Federal and Indian coal subparts.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Office of Natural Resources Revenue', 'name': 'Natural Resources Revenue Office', 'id': 586, 'url': 'https://www.federalregister.gov/agencies/natural-resources-revenue-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/586.json', 'parent_id': 253, 'slug': 'natural-resources-revenue-office'}]","['Interior Department', 'Natural Resources Revenue Office']",,2015-01-06,True,,Consolidated Federal Oil & Gas and Federal & Indian Coal Valuation Reform,"['Coal', 'Continental shelf', 'Government contracts', 'Indians-lands', 'Mineral royalties', 'Natural gas', 'Petroleum', 'Public lands_mineral resources', 'Public lands_mineral resources', 'Reporting and recordkeeping requirements']",Proposed Rule,Data Mining
2014-22239,"Agencies of the Federal Networking and Information Technology Research and Development (NITRD) Program are planning to develop a joint National Privacy Research Strategy. On behalf of the agencies, the Cyber Security and Information Assurance Research and Development Senior Steering Group seeks public input on the vital privacy objectives that should be considered for the goals of the strategy. The National Privacy Research Strategy will be used to guide federally- funded privacy research and provide a framework for coordinating research and development in privacy-enhancing technologies.",Notice.,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2014-09-18,,,Request for Information (RFI)-National Privacy Research Strategy,[],Notice,Data Mining
2014-18545,"We are revising the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems. Some of these changes implement certain statutory provisions contained in the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 (collectively known as the Affordable Care Act), the Protecting Access to Medicare Act of 2014, and other legislation. These changes are applicable to discharges occurring on or after October 1, 2014, unless otherwise specified in this final rule. We also are updating the rate- of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis subject to these limits. The updated rate-of-increase limits are effective for cost reporting periods beginning on or after October 1, 2014. We also are updating the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) and implementing certain statutory changes to the LTCH PPS under the Affordable Care Act and the Pathway for Sustainable Growth Rate (SGR) Reform Act of 2013 and the Protecting Access to Medicare Act of 2014. In addition, we discuss our proposals on the interruption of stay policy for LTCHs and on retiring the ``5 percent'' payment adjustment for co-located LTCHs. While many of the statutory mandates of the Pathway for SGR Reform Act apply to discharges occurring on or after October 1, 2014, others will not begin to apply until 2016 and beyond. In addition, we are making a number of changes relating to direct graduate medical education (GME) and indirect medical education (IME) payments. We are establishing new requirements or revising requirements for quality reporting by specific providers (acute care hospitals, PPS- exempt cancer hospitals, and LTCHs) that are participating in Medicare. We are updating policies relating to the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program. In addition, we are making technical corrections to the regulations governing provider administrative appeals and judicial review; updating the reasonable compensation equivalent (RCE) limits, and revising the methodology for determining such limits, for services furnished by physicians to certain teaching hospitals and hospitals excluded from the IPPS; making regulatory revisions to broaden the specified uses of Medicare Advantage (MA) risk adjustment data and to specify the conditions for release of such risk adjustment data to entities outside of CMS; and making changes to the enforcement procedures for organ transplant centers. We are aligning the reporting and submission timelines for clinical quality measures for the Medicare EHR Incentive Program for eligible hospitals and critical access hospitals (CAHs) with the reporting and submission timelines for the Hospital IQR Program. In addition, we provide guidance and clarification of certain policies for eligible hospitals and CAHs such as our policy for reporting zero denominators on clinical quality measures and our policy for case threshold exemptions. In this document, we are finalizing two interim final rules with comment period relating to criteria for disproportionate share hospital uncompensated care payments and extensions of temporary changes to the payment adjustment for low-volume hospitals and of the Medicare- Dependent, Small Rural Hospital (MDH) Program.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2014-08-22,,,Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Fiscal Year 2015 Rates; Quality Reporting Requirements for Specific Providers; Reasonable Compensation Equivalents for Physician Services in Excluded Hospitals and Certain Teaching Hospitals; Provider Administrative Appeals and Judicial Review; Enforcement Provisions for Organ Transplant Centers; and Electronic Health Record (EHR) Incentive Program,"['Administrative practice and procedure', 'Emergency medical services', 'Grant programs-health', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Kidney diseases', 'Medicaid', 'Medicare', 'Penalties', 'Privacy', 'Puerto Rico', 'Reporting and recordkeeping requirements', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays']",Rule,Data Mining
2014-08649,"To assist in its efforts to explore potential uses of Application Program Interfaces (APIs), the U.S. Department of Education (Department) requests information regarding the use of APIs in the context of higher education data and student aid programs and processes at the Department. We invite ideas, information, and feedback from all interested parties for the purpose of making data and processes in higher education and student aid more open and accessible to students and families, in the most secure manner, as they make an investment in postsecondary education.",Request for information.,"[{'raw_name': 'DEPARTMENT OF EDUCATION', 'name': 'Education Department', 'id': 126, 'url': 'https://www.federalregister.gov/agencies/education-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/126.json', 'parent_id': None, 'slug': 'education-department'}]",['Education Department'],,2014-04-16,,,Request for Information on the Use of APIs in Higher Education Data and Student Aid Processes,[],Notice,Data Mining
2014-06681,"The purpose of this notice of proposed rulemaking (NPRM) is to propose changes to Highway Safety Improvement Program (HSIP) regulations to address provisions in the Moving Ahead for Progress in the 21st Century Act (MAP-21) as well as to incorporate clarifications to better explain existing regulatory language. Specifically, this rule proposes to amend DOT's regulations to address MAP-21 provisions that removed the requirement for States to prepare a Transparency Report, removed the High Risk Rural Roads set-aside, and removed the 10 percent flexibility provision for States to use safety funding in accordance with federal law. This rule also proposes to amend DOT's regulations to address a MAP-21 provision that requires DOT to establish a subset of roadway data elements that are useful to the inventory of roadway safety, and to ensure that States adopt and use the subset. Finally, this rule proposes to address MAP-21 provisions that add State Strategic Highway Safety Plan update requirements and require States to develop HSIP performance targets. The proposed changes are intended to clarify the regulation for the development, implementation, and evaluation of highway safety improvement programs that are administered in each State.",Notice of proposed rulemaking.,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Highway Administration', 'name': 'Federal Highway Administration', 'id': 170, 'url': 'https://www.federalregister.gov/agencies/federal-highway-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/170.json', 'parent_id': 492, 'slug': 'federal-highway-administration'}]","['Transportation Department', 'Federal Highway Administration']",,2014-03-28,True,,Highway Safety Improvement Program,"['Highway safety', 'Highways and roads', 'Motor vehicles', 'Railroad safety', 'Railroads', 'Safety', 'Transportation']",Proposed Rule,Data Mining
2014-04125,"FinCEN, a bureau of the Department of the Treasury (``Treasury''), is issuing this Final Rule defining certain housing government sponsored enterprises as financial institutions for the purpose of requiring them to establish anti-money laundering programs and report suspicious activities pursuant to the Bank Secrecy Act. The requirements to establish anti-money laundering programs and report suspicious activities are intended to help prevent fraud and other financial crimes.",Final rule.,"[{'raw_name': 'DEPARTMENT OF THE TREASURY', 'name': 'Treasury Department', 'id': 497, 'url': 'https://www.federalregister.gov/agencies/treasury-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/497.json', 'parent_id': None, 'slug': 'treasury-department'}, {'raw_name': 'Financial Crimes Enforcement Network', 'name': 'Financial Crimes Enforcement Network', 'id': 194, 'url': 'https://www.federalregister.gov/agencies/financial-crimes-enforcement-network', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/194.json', 'parent_id': 497, 'slug': 'financial-crimes-enforcement-network'}]","['Treasury Department', 'Financial Crimes Enforcement Network']",,2014-02-25,True,,Anti-Money Laundering Program and Suspicious Activity Report Filing Requirements for Housing Government Sponsored Enterprises,"['Administrative practice and procedure', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Brokers', 'Currency', 'Federal home loan banks', 'Foreign banking', 'Foreign currencies', 'Gambling', 'Investigations', 'Mortgages', 'Penalties', 'Reporting and recordkeeping requirements', 'Securities', 'Terrorism']",Rule,Data Mining
2014-00404,"The Office of Science and Technology Policy requests public comments to inform its policy development related to high-impact learning technologies. This Request for Information offers the opportunity for interested individuals and organizations to identify public and private actions that have the potential to accelerate the development, rigorous evaluation, and widespread adoption of high- impact learning technologies. The focus of this RFI is on the design and implementation of ``pull mechanisms'' for technologies that significantly improve a given learning outcome. Comments must be received by 11:59 p.m. on March 7, 2014, to be considered. In your comments, please reference the question to which you are responding.",,"[{'raw_name': 'OFFICE OF SCIENCE AND TECHNOLOGY POLICY', 'name': 'Science and Technology Policy Office', 'id': 464, 'url': 'https://www.federalregister.gov/agencies/science-and-technology-policy-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/464.json', 'parent_id': None, 'slug': 'science-and-technology-policy-office'}]",['Science and Technology Policy Office'],,2014-01-13,,,Notice of Request for Information (RFI),[],Notice,Data Mining
2013-30988,"In compliance with section 3507(a)(1)(D) of the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, has submitted an Information Collection Request (ICR), described below, to the Office of Management and Budget (OMB) for review and approval. The ICR is for renewal of the approved information collection assigned OMB control number 0990-0162 scheduled to expire on January 31, 2014 Comments submitted during the first public review of this ICR will be provided to OMB. OMB will accept further comments from the public on this ICR during the review and approval period.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2013-12-27,,,Agency Information Collection Activities; Submission to OMB for Review and Approval; Public Comment Request,[],Notice,Data Mining
2013-30004,"The Federal Financial Institutions Examination Council (FFIEC), on behalf of its members, is issuing this final supervisory guidance entitled ``Social Media: Consumer Compliance Risk Management Guidance'' (Guidance). The Guidance is being published after consideration of comments received from the public. The Office of the Comptroller of the Currency (OCC); the Board of Governors of the Federal Reserve System (Board); the Federal Deposit Insurance Corporation (FDIC); the National Credit Union Administration (NCUA); and the Consumer Financial Protection Bureau (CFPB) (collectively, the Agencies) will use it as supervisory guidance for the institutions that they supervise, and the State Liaison Committee (SLC) of the FFIEC encourages state regulators to adopt the Guidance. Accordingly, financial institutions are expected to use the Guidance in their efforts to ensure that their policies and procedures provide oversight and controls commensurate with the risks posed by their involvement with social media.",Notice; final guidance.,"[{'raw_name': 'FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL', 'name': 'Federal Financial Institutions Examination Council', 'id': 168, 'url': 'https://www.federalregister.gov/agencies/federal-financial-institutions-examination-council', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/168.json', 'parent_id': None, 'slug': 'federal-financial-institutions-examination-council'}]",['Federal Financial Institutions Examination Council'],,2013-12-17,,,Social Media: Consumer Compliance Risk Management Guidance,[],Notice,Data Mining
2013-28198,"The Centers for Disease Control and Prevention (CDC) located within the Department of Health and Human Services (HHS) announces the launch of the Predict the Influenza Season Challenge. Each year annual epidemics of influenza occur in the United States. However, variations in the timing and intensity of the season occur each year. Early insights into the timing of the beginning, the peak, and the intensity of the influenza season would be very useful in planning vaccination campaigns, targeting resources and therefore reducing costs associated with influenza prevention and control, and communicating prevention messages to the public. Mathematical and statistical models can be useful in predicting the timing and impact of the influenza season, but no models published to date have successfully predicted key influenza season milestones with sufficient accuracy. The Influenza Division, National Center for Immunization and Respiratory Diseases, CDC would like to invest in innovation through the research and development of mathematical and statistical models that use digital surveillance data (e.g. Twitter, internet search data, web surveys, etc.) to predict the timing, peak, and intensity of the upcoming influenza season. By hosting this challenge, the Influenza Division is able to garner the technical innovation required to accurately forecast the influenza season for less resources than would be required through more traditional mechanisms. Furthermore, this challenge will allow the Influenza Division to foster competition and receive and evaluate multiple influenza season forecasts from a number of scientists using a variety of different methodologies, which would not be possible if a single entity were funded. Accurate influenza forecasts have the potential to reduce long-term costs by more efficiently utilizing resources that are available to track influenza and implement control measures during the influenza season. The challenge could be solved by applying any mathematical, statistical, or other approach to predictive modeling. This challenge will provide the Influenza Division with methods that advance the science of prediction modeling, enhance the understanding of influenza modeling and the use of digital data for influenza surveillance, and improve the implementation of prevention and control measures for seasonal influenza. The historical national surveillance data that could be used to enable training and correlation model development by competitors are available at http://gis.cdc.gov/grasp/fluview/fluportaldashboard.html and are updated every Friday at noon. The competitors' predictions and methodology describing their models will comprise their initial challenge entry. Eight subsequent bi-weekly submissions of predictions based on the submitted methodology are also required. Predictions must be national in scope but may also include HHS region predictions; all predictions must be scaled to ILINet. Competitors' models will be evaluated based on the methodology and how well the predictions match the 2013-14 influenza season as measured by the U.S. Outpatient Influenza-like Illness Surveillance Network (ILINet: http:// www.cdc.gov/flu/weekly/overview.htm#Outpatient). The competition will award a $75,000 prize and singular recognition to the person or team that most closely predicts the influenza season.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2013-11-25,,,Announcement of Requirements and Registration for the Predict the Influenza Season Challenge,[],Notice,Data Mining
2013-25187,"In compliance with section 3506(c)(2)(A) of the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, announces plans to submit an Information Collection Request (ICR), described below, to the Office of Management and Budget (OMB). The ICR is for extending the use of the approved information collection assigned OMB control number 0990-0162, which expires on January 31, 2014. Prior to submitting that ICR to OMB, OS seeks comments from the public regarding the burden estimate, below, or any other aspect of the ICR.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2013-10-25,,,Agency Information Collection Activities; Proposed Collection; Public Comment Request,[],Notice,Data Mining
2013-16271,"This final rule implements provisions of the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 (collectively referred to as the Affordable Care Act. This final rule finalizes new Medicaid eligibility provisions; finalizes changes related to electronic Medicaid and the Children's Health Insurance Program (CHIP) eligibility notices and delegation of appeals; modernizes and streamlines existing Medicaid eligibility rules; revises CHIP rules relating to the substitution of coverage to improve the coordination of CHIP coverage with other coverage; and amends requirements for benchmark and benchmark- equivalent benefit packages consistent with sections 1937 of the Social Security Act (which we refer to as ``alternative benefit plans'') to ensure that these benefit packages include essential health benefits and meet certain other minimum standards. This rule also implements specific provisions including those related to authorized representatives, notices, and verification of eligibility for qualifying coverage in an eligible employer-sponsored plan for Affordable Insurance Exchanges. This rule also updates and simplifies the complex Medicaid premium and cost sharing requirements, to promote the most effective use of services, and to assist states in identifying cost sharing flexibilities. It includes transition policies for 2014 as applicable.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services', 'Office of the Secretary']",2012-03-23,2013-07-15,True,,"Medicaid and Children's Health Insurance Programs: Essential Health Benefits in Alternative Benefit Plans, Eligibility Notices, Fair Hearing and Appeal Processes, and Premiums and Cost Sharing; Exchanges: Eligibility and Enrollment","['Accounting', 'Administrative practice and procedure', 'Advertising', 'Advisory committees', 'Aid to Families with Dependent Children', 'Brokers', 'Conflict of interests', 'Consumer protection', 'Drugs', 'Grant programs-health', 'Guam', 'Health care', 'Health facilities', 'Health insurance', 'Health maintenance organizations (HMO)', 'Health professions', 'Health records', 'Hospitals', 'Indians', 'Individuals with disabilities', 'Loan programs-health', 'Medicaid', 'Organization and functions (Government agencies)', 'Privacy', 'Public assistance programs', 'Puerto Rico', 'Reporting and recordkeeping requirements', 'Rural areas', 'Safety', 'State and local governments', 'State and local governments', 'Sunshine Act', 'Supplemental Security Income (SSI)', 'Technical assistance', 'Technical assistance', 'Virgin Islands', 'Wages', 'Women', 'Youth']",Rule,Data Mining
2013-11735,"This final rule amends a provision in HHS regulations prohibiting State Medicaid Fraud Control Units (MFCU) from using Federal matching funds to identify fraud through screening and analyzing State Medicaid data, known as data mining. To support and modernize MFCU efforts to effectively pursue Medicaid provider fraud, we finalize proposals to permit Federal financial participation (FFP) in costs of defined data mining activities under specified circumstances. In addition, we finalize requirements that MFCUs annually report costs and results of approved data mining activities to OIG.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of Inspector General'}]","['Health and Human Services Department', 'Office of Inspector General']",2013-06-17,2013-05-17,,,State Medicaid Fraud Control Units; Data Mining,"['Administrative practice and procedure', 'Fraud', 'Grant programs-health', 'Medicaid', 'Reporting and recordkeeping requirements']",Rule,Data Mining
2013-01255,"The Federal Financial Institutions Examination Council (FFIEC), on behalf of its members, requests comment on this proposed guidance entitled ``Social Media: Consumer Compliance Risk Management Guidance'' (guidance). Upon completion of the guidance, and after consideration of comments received from the public, the federal financial institution regulatory agencies will issue it as supervisory guidance to the institutions that they supervise and the State Liaison Committee (SLC) of the FFIEC will encourage state regulators to adopt the guidance. Accordingly, institutions will be expected to use the guidance in their efforts to ensure that their policies and procedures provide oversight and controls commensurate with the risks posed by their social media activities.",Notice; request for comment.,"[{'raw_name': 'FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL', 'name': 'Federal Financial Institutions Examination Council', 'id': 168, 'url': 'https://www.federalregister.gov/agencies/federal-financial-institutions-examination-council', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/168.json', 'parent_id': None, 'slug': 'federal-financial-institutions-examination-council'}]",['Federal Financial Institutions Examination Council'],,2013-01-23,,,Social Media: Consumer Compliance Risk Management Guidance,[],Notice,Data Mining
2012-19584,"On March 29, 2011, and April 2, 2012, U.S. Department of Transportation's Office of Transportation Services (TRANServe), located within the Office of the Assistant Secretary for Administration, published for public comment Notices of the adoption of a new program distribution methodology for transit benefits. To date, TRANServe has implemented its plan in three of the eight TRANServe Services Areas and continues to implement electronic fare media across the United States, ensuring that the implementation in the remaining five TRANServe Service Areas is consistent with applicable statutes and regulations. TRANServe's plan is a two-year initiative designed to be responsive to industry changes and technological advances. Over time, many State and local transit authorities are transitioning, or have already transitioned, to electronic fare media, compelling the shift from a paper based system (vouchers) to an electronic fare media structure. Now that the Federal Register notification process is final, TRANServe will continue to engage all appropriate stakeholders through outreach and communication for assistance and advice.",Notice.,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Office of the Secretary of Transportation', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}]","['Transportation Department', 'Transportation Department']",,2012-08-09,,,"Notice of Transportation Services' Transition From Paper to Electronic Fare Media Comments, Response to Public Comments, and Final Notification",[],Notice,Data Mining
2012-15163,The Bureau of Consumer Financial Protection (the ``Bureau'') is issuing a final policy statement (the ``Policy Statement'') to provide guidance on how the Bureau plans to exercise its discretion to publicly disclose certain credit card complaint data that do not include personally identifiable information. The Bureau receives credit card complaints from consumers under the terms of Title X of the Dodd-Frank Wall Street Reform and Consumer Protection Act (the ``Dodd-Frank Act''). The Policy Statement also identifies additional ways that the Bureau may disclose credit card complaint data but as to which it will conduct further study before finalizing its position.,Notice of final policy statement.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],2012-06-19,2012-06-22,,,Disclosure of Certain Credit Card Complaint Data,[],Rule,Data Mining
2012-11932,"The Food and Drug Administration (FDA) announces its intention to accept and consider a single source application for an award of a cooperative agreement to the World Health Organization (WHO) in support of collaborative efforts to advance innovative approaches to vaccine clinical trial design and to enhance the utilization of a range of pharmacovigilance tools as a means to further vaccine safety and potentially facilitate more rapid introduction of new vaccines. The goal of FDA's Center for Biologics Evaluation and Research (CBER) is to enhance technical collaboration and cooperation between FDA, WHO, and its Member States to facilitate strengthening regulatory capacity globally.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2012-05-16,,,Cooperative Agreement To Support Innovation in Vaccine Clinical Trial Design and Collaboration in Pharmacovigilance To Advance Global Access to Safe and Effective Vaccines,[],Notice,Data Mining
2012-11548,"This final rule revises the requirements that hospitals and critical access hospitals (CAHs) must meet to participate in the Medicare and Medicaid programs. These changes are an integral part of our efforts to reduce procedural burdens on providers. This rule reflects the Centers for Medicare and Medicaid Services' (CMS) commitment to the general principles of the President's Executive Order 13563, released January 18, 2011, entitled ``Improving Regulation and Regulatory Review.''",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2012-07-16,2012-05-16,True,,Medicare and Medicaid Programs; Reform of Hospital and Critical Access Hospital Conditions of Participation,"['Grant programs-health', 'Health facilities', 'Hospitals', 'Medicaid', 'Medicare', 'Reporting and recordkeeping requirements']",Rule,Data Mining
