document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2016-30358,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2017-01-09,2016-12-19,,,"Office of the Director, National Institutes of Health; Notice of Meeting",[],Notice,Data Science
2016-28006,"In this document, the Federal Communications Commission (Commission) adopts final rules based on public comments applying the privacy requirements of the Communications Act of 1934, as amended, to broadband Internet access service (BIAS) and other telecommunications services. In adopting these rules the Commission implements the statutory requirement that telecommunications carriers protect the confidentiality of customer proprietary information. The privacy framework in these rules focuses on transparency, choice, and data security, and provides heightened protection for sensitive customer information, consistent with customer expectations. The rules require carriers to provide privacy notices that clearly and accurately inform customers; obtain opt-in or opt-out customer approval to use and share sensitive or non-sensitive customer proprietary information, respectively; take reasonable measures to secure customer proprietary information; provide notification to customers, the Commission, and law enforcement in the event of data breaches that could result in harm; not condition provision of service on the surrender of privacy rights; and provide heightened notice and obtain affirmative consent when offering financial incentives in exchange for the right to use a customer's confidential information. The Commission also revises its current telecommunications privacy rules to harmonize today's privacy rules for all telecommunications carriers, and provides a tailored exemption from these rules for enterprise customers of telecommunications services other than BIAS.",Final rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],2017-01-03,2016-12-02,,,Protecting the Privacy of Customers of Broadband and Other Telecommunications Services,"['Claims', 'Communications common carriers', 'Computer technology', 'Credit', 'Foreign relations', 'Individuals with disabilities', 'Political candidates', 'Radio', 'Reporting and recordkeeping requirements', 'Telecommunications', 'Telegraph', 'Telephone']",Rule,Data Science
2016-28594,"OAR publishes this notice to solicit applications to fill a single membership vacancy on the Ocean Exploration Advisory Board (OEAB) with an individual demonstrating expertise in data science and management and one other area of expertise relevant to ocean exploration, such as seafloor mapping. The new OEAB member will serve an initial three-year term, renewable once. The purpose of the OEAB is to advise the Under Secretary of Commerce for Oceans and Atmosphere on matters pertaining to ocean exploration including: The identification of priority areas that warrant exploration; the development and enhancement of technologies for exploring the oceans; managing the data and information; and disseminating the results. The OEAB also provides advice on the relevance of the program with regard to the NOAA Strategic Plan, the National Ocean Policy Implementation Plan, and other appropriate guidance documents.",Notice of Membership Solicitation for the OEAB.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]","['Commerce Department', 'National Oceanic and Atmospheric Administration']",,2016-11-29,,,Ocean Exploration Advisory Board (OEAB),[],Notice,Data Science
2016-27513,,,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2016-11-16,,,Advisory Committee for Computer and Information Science and Engineering; Notice of Meeting,[],Notice,Data Science
2016-26901,"This document proposes revisions to Wireless Emergency Alert (WEA) rules to improve WEA, leveraging advancements in technology to improve WEA's multimedia, multilingual and geo-targeting capabilities, as well as lessons learned from alert originators' experience since WEA was initially deployed. This document also proposes steps to improve the availability of information about WEA, both to empower consumers to make informed choices about the emergency information that they will receive, as well as to promote transparency for emergency management agencies and other WEA stakeholders. By this action, the Commission affords interested parties an opportunity to participate more fully in WEA, and to enhance the utility of WEA as an alerting tool.",Proposed rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],,2016-11-08,,,Wireless Emergency Alerts; Amendments to the Commission's Rules Regarding the Emergency Alert System,[],Proposed Rule,Data Science
2016-22665,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2016-10-13,2016-09-21,,,Center for Scientific Review; Notice of Closed Meetings,[],Notice,Data Science
2016-22530,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2016-10-06,2016-09-20,,,Center for Scientific Review; Notice of Closed Meetings,[],Notice,Data Science
2016-21078,"NOAA is soliciting nominations for members of the NOAA Science Advisory Board (SAB). The SAB is the only Federal Advisory Committee with the responsibility to advise the Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator on long- and short-range strategies for research, education, and application of science to resource management and environmental assessment and prediction. The SAB consists of approximately fifteen members reflecting the full breadth of NOAA's areas of responsibility and assists NOAA in maintaining a complete and accurate understanding of scientific issues critical to the agency's missions. Composition and Points of View: The Board will consist of approximately fifteen members, including a Chair, designated by the Under Secretary in accordance with FACA requirements. Members will be appointed for three-year terms, renewable once, and serve at the discretion of the Under Secretary. If a member resigns before the end of his or her first term, the vacancy appointment shall be for the remainder of the unexpired term, and shall be renewable twice if the unexpired term is less than one year. Members will be appointed as special government employees (SGEs) and will be subject to the ethical standards applicable to SGEs. Members are reimbursed for actual and reasonable travel and per diem expenses incurred in performing such duties but will not be reimbursed for their time. As a Federal Advisory Committee, the Board's membership is required to be balanced in terms of viewpoints represented and the functions to be performed as well as the interests of geographic regions of the country and the diverse sectors of U.S. society. The SAB meets in person three times each year, exclusive of teleconferences or subcommittee, task force, and working group meetings. Board members must be willing to serve as liaisons to SAB working groups and/or participate in periodic reviews of the NOAA Cooperative Institutes and overarching reviews of NOAA's research enterprise. Nominations: Interested persons may nominate themselves or third parties. Applications: An application is required to be considered for Board membership, regardless of whether a person is nominated by a third party or self-nominated. The application package must include: (1) The nominee's full name, title, institutional affiliation, and contact information; (2) the nominee's area(s) of expertise; (3) a short description of his/her qualifications relative to the kinds of advice being solicited by NOAA in this Notice; and (4) a current resume (maximum length four [4] pages).",Notice of solicitation for members of the NOAA Science Advisory Board.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]","['Commerce Department', 'National Oceanic and Atmospheric Administration']",,2016-09-02,,,Solicitation for Members of the NOAA Science Advisory Board,[],Notice,Data Science
2016-20791,"This notice sets forth the names and titles of the current membership of the Council of the Inspectors General on Integrity and Efficiency (CIGIE) Performance Review Board as of October 1, 2016.",Notice.,"[{'raw_name': 'Council of the Inspectors General on Integrity and Efficiency', 'name': 'Council of the Inspectors General on Integrity and Efficiency', 'id': 578, 'url': 'https://www.federalregister.gov/agencies/council-of-the-inspectors-general-on-integrity-and-efficiency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/578.json', 'parent_id': None, 'slug': 'council-of-the-inspectors-general-on-integrity-and-efficiency'}]",['Council of the Inspectors General on Integrity and Efficiency'],,2016-08-30,,,Senior Executive Service Performance Review Board Membership,[],Notice,Data Science
2016-19047,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2016-09-01,2016-08-11,,,Office of the Director; Notice of Meeting,[],Notice,Data Science
2016-14175,"The National Technical Information Service (NTIS) requests proposals from interested for-profit, non-profit, or research performing service organizations to enter into a Joint Venture Partnership with NTIS to assist Federal agencies to develop and implement innovative ways to collect, connect, access, analyze, or use Federal data and data services.",Notice.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Technical Information Service', 'name': 'National Technical Information Service', 'id': 372, 'url': 'https://www.federalregister.gov/agencies/national-technical-information-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/372.json', 'parent_id': 54, 'slug': 'national-technical-information-service'}]","['Commerce Department', 'National Technical Information Service']",,2016-06-15,,,Opportunity To Enter Into a Joint Venture With the National Technical Information Service for Data Innovation Support,[],Notice,Data Science
2016-09365,,,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2016-04-22,,,Advisory Committee for Computer and Information Science and Engineering; Notice of Meeting,[],Notice,Data Science
2016-08656,"The Reagan-Udall Foundation for the Food and Drug Administration (FDA), which was created by Title VI of the Food and Drug Administration Amendments Act of 2007, is announcing its annual public meeting. The purpose of this meeting is to provide an opportunity for the Foundation to engage with its stakeholders and receive public input on its efforts. The meeting will include an organizational update, project updates, open Q & A and the opportunity for public commentary.",Notice of annual meeting.,"[{'raw_name': 'REAGAN-UDALL FOUNDATION FOR THE FOOD AND DRUG ADMINISTRATION', 'name': 'Reagan-Udall Foundation for the Food and Drug Administration', 'id': 445, 'url': 'https://www.federalregister.gov/agencies/reagan-udall-foundation-for-the-food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/445.json', 'parent_id': None, 'slug': 'reagan-udall-foundation-for-the-food-and-drug-administration'}]",['Reagan-Udall Foundation for the Food and Drug Administration'],,2016-04-14,,,Annual Public Meeting,[],Notice,Data Science
2016-07542,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2016-04-25,2016-04-04,,,"Office of the Director, National Institutes of Health; Notice of Meeting",[],Notice,Data Science
2015-31832,The Interagency Coordinating Committee on the Validation of Alternative Methods (ICCVAM) announces a public webinar ``Fundamentals of Using Quantitative Structure--Activity Relationship Models and Read- Across Techniques in Predictive Toxicology.'' The webinar is organized on behalf of ICCVAM by the National Toxicology Program Interagency Center for the Evaluation Alternative Toxicological Methods (NICEATM) and hosted by the U.S. Environmental Protection Agency's (EPA's) National Center for Computational Toxicology (NCCT). Interested persons may participate via Adobe[supreg] Connect<SUP>TM</SUP>. Time is allotted for questions from the audience.,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2015-12-18,,,Interagency Coordinating Committee on the Validation of Alternative Methods Communities of Practice Webinar on Fundamentals of Using Quantitative Structure-Activity Relationship Models and Read-across Techniques in Predictive Toxicology; Notice of Public Webinar; Registration Information,[],Notice,Data Science
2015-31162,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2015-01-11,2015-12-11,,,"Office of The Director, National Institutes of Health; Notice of Meeting",[],Notice,Data Science
2015-28451,,,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2015-11-09,,,Advisory Committee for Computer and Information Science and Engineering; Notice of Meeting,[],Notice,Data Science
2015-26392,"The National Institutes of Health (NIH) Office of the Associate Director for Data Science (ADDS) announces a collaboration with the Wellcome Trust (WT) and the Howard Hughes Medical Institute (HHMI) to launch the ``Open Science Prize'' (the ``Challenge'') to encourage and support the prototyping and development of services, tools and/or platforms that enable open content--including publications, datasets, code and other research outputs--to be discovered, accessed and re-used in ways that will advance research, spark innovation, and generate new societal benefits. The Challenge is necessary to accelerate the field of ``open'' biomedical research beyond what current funding mechanisms can achieve. For the NIH, this Challenge is being launched under the America COMPETES Reauthorization Act of 2010.",,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2015-10-20,,,Announcement of Requirements and Registration for the Open Science Prize,[],Notice,Data Science
2015-20213,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2015-09-24,2015-08-17,,,Center for Scientific Review; Notice of Closed Meetings,[],Notice,Data Science
2015-19285,"The Reagan-Udall Foundation (RUF) for the Food and Drug Administration (FDA), which was created by Title VI of the Food and Drug Amendments of 2007, is requesting nominations for its Big Data for Patients (BD4P) Steering Committee. The Steering Committee will provide oversight and guidance for the BD4P program, and will report to the Reagan-Udall Foundation for the FDA's Board of Directors.",Request for nominations to the Steering Committee for the Foundation's Big Data for Patients (BD4P) Program.,"[{'raw_name': 'REAGAN-UDALL FOUNDATION FOR THE FOOD AND DRUG ADMINISTRATION', 'name': 'Reagan-Udall Foundation for the Food and Drug Administration', 'id': 445, 'url': 'https://www.federalregister.gov/agencies/reagan-udall-foundation-for-the-food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/445.json', 'parent_id': None, 'slug': 'reagan-udall-foundation-for-the-food-and-drug-administration'}]",['Reagan-Udall Foundation for the Food and Drug Administration'],,2015-08-06,,,Request for Steering Committee Nominations,[],Notice,Data Science
2015-17163,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2015-07-14,,,"Office of the Director, National Institutes of Health; Notice of Meeting",[],Notice,Data Science
2015-12541,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2015-06-08,2015-05-26,,,Center for Scientific Review; Notice of Closed Meetings,[],Notice,Data Science
2015-12014,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2015-06-10,2015-05-19,,,Center for Scientific Review; Notice of Closed Meetings,[],Notice,Data Science
2015-11479,,,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2015-05-13,,,Advisory Committee for Computer and Information Science and Engineering; Notice of Meeting,[],Notice,Data Science
2015-11472,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",2015-05-29,2015-05-13,,,Center for Scientific Review; Notice of Closed Meetings,[],Notice,Data Science
2014-24691,,,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2014-10-17,,,Advisory Committee for Computer and Information Science and Engineering: Notice of Meeting,[],Notice,Data Science
2014-24137,"This is a correction to the previous submission published on October 2, 2014, at 79 FR 59520. The changes are limited to the insertion of links to various documents referenced within this notice. For additional information and supporting information please see the NITRD Web site, www.nitrd.gov. This request encourages feedback from multiple big data stakeholders to inform the development of a framework, set of priorities, and ultimately a strategic plan for the National Big Data R&D Initiative. A number of areas of interest have been identified by agency representatives in the Networking and Information Technology Research and Development (NITRD) Big Data Senior Steering Group (BDSSG) as well as the many members of the big data R&D community that have participated in BDSSG events and workshops over the past several years. This RFI is a critical step in developing a cross- agency strategic plan that has broad community input and that can be referenced by all Federal agencies as they move forward over the next five to ten years with their own big data R&D programs, policies, partnerships, and activities.",,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2014-10-09,,,Request for Input (RFI)-National Big Data R&D Initiative; Correction,[],Notice,Data Science
2014-23444,"This request encourages feedback from multiple big data stakeholders to inform the development of a framework, set of priorities, and ultimately a strategic plan for the National Big Data R&D Initiative. A number of areas of interest have been identified by agency representatives in the Networking and Information Technology Research and Development (NITRD) Big Data Senior Steering Group (BDSSG) as well as the many members of the big data R&D community that have participated in BDSSG events and workshops over the past several years. This RFI is a critical step in developing a cross-agency strategic plan that has broad community input and that can be referenced by all Federal agencies as they move forward over the next five to ten years with their own big data R&D programs, policies, partnerships, and activities.",Request for Input (RFI).,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2014-10-02,,,"National Big Data R and D Initiative; Framework, Priorities, and Strategic Plan",[],Notice,Data Science
2014-23035,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2014-09-29,,,Center for Scientific Review; Notice of Closed Meetings,[],Notice,Data Science
2014-20385,"The National Institutes of Health (NIH) announces the final Genomic Data Sharing (GDS) Policy that promotes sharing, for research purposes, of large-scale human and non-human genomic \1\ data generated from NIH-funded research. A summary of public comments on the draft GDS Policy and the NIH responses are also provided.",,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2014-08-28,,,Final NIH Genomic Data Sharing Policy,[],Notice,Data Science
2014-07142,"The Environmental Protection Agency (EPA) and the U.S. Army Corps of Engineers (Corps) are publishing for public comment a proposed rule defining the scope of waters protected under the Clean Water Act (CWA), in light of the U.S. Supreme Court cases in U.S. v. Riverside Bayview, Rapanos v. United States, and Solid Waste Agency of Northern Cook County v. U.S. Army Corps of Engineers (SWANCC), and Rapanos v. United States (Rapanos). This proposal would enhance protection for the nation's public health and aquatic resources, and increase CWA program predictability and consistency by increasing clarity as to the scope of ``waters of the United States'' protected under the Act.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Army, Corps of Engineers', 'name': 'Engineers Corps', 'id': 142, 'url': 'https://www.federalregister.gov/agencies/engineers-corps', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/142.json', 'parent_id': 103, 'slug': 'engineers-corps'}, {'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]","['Defense Department', 'Engineers Corps', 'Environmental Protection Agency']",,2014-04-21,True,,Definition of “Waters of the United States” Under the Clean Water Act,"['Administrative practice and procedure', 'Environmental protection', 'Intergovernmental relations', 'Water pollution control', 'Waterways']",Proposed Rule,Data Science
