document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2015-08804,"The U.S. Environmental Protection Agency's (EPA) Office of Solid Waste and Emergency Response (OSWER), Office of Emergency Management (OEM) is giving notice that it proposes to create a new system of records pursuant to the provisions of the Privacy Act of 1974 (5 U.S.C. 552a). The EPA is implementing the Emergency Management Portal--Field Readiness Application (EMP-FR) which will contain information used by the Agency to (1) track and manage training and certifications for Agency emergency management and response personnel and those subject to Agency safety, health, and environmental management training and medical monitoring requirements; (2) contact EPA staff who are members of the Response Support Corps (RSC) in off- hours when they are needed to be sent to an emergency response incident or to contact an emergency point of contact in case of injury to the RSC member while working at an incident; and (3) respond to requests for statistical compilations of such information made by the Office of Management and Budget, the Department of Labor and the Department of Homeland Security.",Notice.,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",['Environmental Protection Agency'],,2015-04-16,,,Establishment of a New System of Records Notice for the Emergency Management Portal-Field Readiness Application (EMP-FR),[],Notice,Business Intelligence
2015-04349,"The General Services Administration (GSA) announces a public meeting and request for comment on its proposal to amend the General Services Administration Acquisition Regulation (GSAR) to include clauses that would require vendors to report transactional data from orders and prices paid by ordering activities. This includes orders placed against both Federal Supply Schedule (FSS) contract vehicles and GSA's non-FSS contract vehicles--Governmentwide Acquisition Contracts (GWACs) and Governmentwide Indefinite-Delivery, Indefinite-Quality (IDIQ) contracts. For FSS vehicles, the clause would be introduced in phases, beginning with a pilot for select products and commoditized services. The new clause will be paired with changes to the basis of award monitoring requirement of the existing price reductions clause, resulting in a burden reduction for participating FSS contractors. This rulemaking does not apply to the Department of Veterans Affairs (VA) FSS contract holders. GSA is interested in conducting a dialogue with industry and interested parties in Government about the proposed change. GSA is seeking feedback on potential impacts to agency customers and contractors alike. Feedback will be used to help inform the revisions to the proposed clauses, provisions, and prescriptions and other guidance to implement the proposed rule.",Notice of a public meeting and request for comments on proposed rule.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],,2015-03-04,True,,General Services Administration Acquisition Regulation (GSAR); Transactional Data Reporting,['Government procurement'],Proposed Rule,Business Intelligence
2015-03549,"The FTC is making technical revisions to several of the notices that it is required to publish under the Privacy Act of 1974 to describe its systems of records about individuals. This action is intended to make these notices clearer, more accurate, and up-to-date.",Notice of revised Privacy Act system notices.,"[{'raw_name': 'FEDERAL TRADE COMMISSION', 'name': 'Federal Trade Commission', 'id': 192, 'url': 'https://www.federalregister.gov/agencies/federal-trade-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/192.json', 'parent_id': None, 'slug': 'federal-trade-commission'}]",['Federal Trade Commission'],2015-02-23,2015-02-23,,,Privacy Act of 1974; System of Records Notices,[],Notice,Business Intelligence
2014-24741,"Representatives from Federal research agencies, private industry, and academia will identify R&D in the area of spectrum data requirements that will promote progress toward more efficient spectrum utilization and sharing.","Notice--Federal-Commercial Spectrum Data: Understanding Information Exchange Needs, Issues, and Approaches.","[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],2014-10-21,2014-10-17,,,Federal-Commercial Spectrum Data; Workshop,[],Notice,Business Intelligence
2014-13012,"In accordance with the requirements of the Privacy Act of 1974, CMS is establishing a new SOR titled, ``Open Payments,'' System No. 09-70-0507, to implement the requirements in Section 6002 of the Patient Protection and Affordable Care Act of 2010 (ACA) (Pub. L. 111- 148), which added section 1128G to the Social Security Act (the Act). The Open Payments program requires applicable manufacturers and applicable Group Purchasing Organizations (GPOs) to report payments and other transfers of value to covered physician recipients as defined by 42 CFR 403.902, as well as certain ownership or investment interests held by physicians and/or their immediate family members in such applicable manufacturers and/or applicable GPOs. CMS is required to publish the data submitted by applicable manufacturers or GPOs on a public Web site.",Notice of a New System of Records (SOR).,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2014-06-05,,,Privacy Act of 1974; Report of New System of Records,[],Notice,Business Intelligence
2014-10961,"In accordance with the Privacy Act of 1974, as amended, Title 5 United States Code (U.S.C.) 552(e)(4) and (11); and Office of Management and Budget (OMB) Circular A-130, Appendix I, ``Federal Agency Responsibilities for Maintaining Records About Individuals,'' the Department of Commerce is issuing this notice of its intent to establish a new system of records entitled COMMERCE/DEPARTMENT-24, BusinessUSA Intellectual Hosting Service Application and Satisfaction Survey Records (BUSA IHSA & SSR). This action is being taken to update the Privacy Act notice and Department of Commerce, Notice to Amend All Privacy Act System of Records. We invite the public to comment on the items noted in this publication. BusinessUSA (BUSA) is a gateway to business resources for U.S. small businesses and exporters. Its mission is to serve America's businesses by providing easy access to government resources and opportunities, and by efficiently providing consistent, timely, relevant, accurate, complete, and trustworthy information to help them succeed. BUSA strives to provide a seamless and effective customer experience where businesses can discover, locate, access, and use applicable resources. To accomplish BUSA's mission, this system of records will maintain information on customers (defined as individuals and businesses) who request information or assistance through BUSA's multi-channel approach as facilitated by BUSA's Intellectual Hosting Service Application and Satisfaction Survey Records. It will be accessible only to a limited number of approved entities, as explained in greater detail below.","Notice of a New Privacy Act System of Records; COMMERCE/ DEPARTMENT-24, BusinessUSA Intellectual Hosting Service Application and Satisfaction Survey Records.","[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}]",['Commerce Department'],,2014-05-13,,,Privacy Act of 1974; New System of Records,[],Notice,Business Intelligence
2014-09363,,,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'International Trade Administration', 'name': 'International Trade Administration', 'id': 261, 'url': 'https://www.federalregister.gov/agencies/international-trade-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/261.json', 'parent_id': 54, 'slug': 'international-trade-administration'}]","['Commerce Department', 'International Trade Administration']",,2014-04-24,,,Sugar From Mexico: Initiation of Antidumping Duty Investigation,[],Notice,Business Intelligence
2014-05657,"In compliance with section 3507(a)(1)(D) of the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, has submitted an Information Collection Request (ICR), described below, to the Office of Management and Budget (OMB) for review and approval. The ICR is for reinstatement of a previously-approved information collection assigned OMB control number 0955-0009, which expired on February 28, 2014. Comments submitted during the first public review of this ICR will be provided to OMB. OMB will accept further comments from the public on this ICR during the review and approval period.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2014-03-14,,,Agency Information Collection Activities; Submission to OMB for Review and Approval; Public Comment Request,[],Notice,Business Intelligence
2014-04484,"In compliance with section 3507(a)(1)(D) of the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, has submitted an Information Collection Request (ICR), described below, to the Office of Management and Budget (OMB) for review and approval. The ICR is for renewal of the approved information collection assigned OMB control number 0955-0009, scheduled to expire on February 28, 2014. Comments submitted during the first public review of this ICR will be provided to OMB. OMB will accept further comments from the public on this ICR during the review and approval period.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2014-03-03,,,Agency Information Collection Activities; Submission to OMB for Review and Approval; Public Comment Request,[],Notice,Business Intelligence
2014-03658,"GSA proposes to create a system of records subject to the Privacy Act of 1974, as amended, 5 U.S.C. 552a.",Notice.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],2014-03-24,2014-02-21,,,Privacy Act of 1974; Notice of an Updated System of Records,[],Notice,Business Intelligence
2014-01497,The Privacy Act of 1974 (5 U.S.C. 552(e)(4)) requires that all agencies publish in the Federal Register a notice of the existence and character of their systems of records. Notice is hereby given that the Department of Veterans Affairs (VA) is establishing a new system of records entitled ``VHA Corporate Data Warehouse-VA'' (172VA10P2).,Notice of new system of records.,"[{'raw_name': 'DEPARTMENT OF VETERANS AFFAIRS', 'name': 'Veterans Affairs Department', 'id': 520, 'url': 'https://www.federalregister.gov/agencies/veterans-affairs-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/520.json', 'parent_id': None, 'slug': 'veterans-affairs-department'}]",['Veterans Affairs Department'],2014-02-26,2014-01-27,,,Privacy Act of 1974,[],Notice,Business Intelligence
2013-30840,"In compliance with section 3506(c)(2)(A) of the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, announces plans to submit an Information Collection Request (ICR), described below, to the Office of Management and Budget (OMB). The ICR is for extending the use of the approved information collection assigned OMB control number 0955-0009, which expires on February 28, 2014. Prior to submitting that ICR to OMB, OS seeks comments from the public regarding the burden estimate, below, or any other aspect of the ICR.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2013-12-26,,,Agency Information Collection Activities; Proposed Collection; Public Comment Request,[],Notice,Business Intelligence
2013-29586,"This document provides notice that U.S. Customs and Border Protection (``CBP'') has issued a final determination concerning the country of origin of certain computer software known as DocAve Software. Based upon the facts presented, CBP has concluded that the software build operations performed in the United States substantially transform software modules developed in China. Therefore, the country of origin of DocAve Software is the United States for purposes of U.S. Government procurement.",Notice of final determination.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'U.S. Customs and Border Protection', 'name': 'U.S. Customs and Border Protection', 'id': 501, 'url': 'https://www.federalregister.gov/agencies/u-s-customs-and-border-protection', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/501.json', 'parent_id': 227, 'slug': 'u-s-customs-and-border-protection'}]","['Homeland Security Department', 'U.S. Customs and Border Protection']",,2013-12-11,,,Notice of Issuance of Final Determination Concerning Docave Computer Software,[],Notice,Business Intelligence
2013-25355,"The Securities and Exchange Commission is proposing for comment new Regulation Crowdfunding under the Securities Act of 1933 and the Securities Exchange Act of 1934 to implement the requirements of Title III of the Jumpstart Our Business Startups Act. Regulation Crowdfunding would prescribe rules governing the offer and sale of securities under new Section 4(a)(6) of the Securities Act of 1933. The proposal also would provide a framework for the regulation of registered funding portals and brokers that issuers are required to use as intermediaries in the offer and sale of securities in reliance on Section 4(a)(6). In addition, the proposal would exempt securities sold pursuant to Section 4(a)(6) from the registration requirements of Section 12(g) of the Securities Exchange Act of 1934.",Proposed rules.,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2013-11-05,False,,Crowdfunding,"['Administrative practice and procedure', 'Authority delegations (Government agencies)', 'Brokers', 'Confidential business information', 'Fraud', 'Organization and functions (Government agencies)', 'Reporting and recordkeeping requirements', 'Securities']",Proposed Rule,Business Intelligence
2013-24107,"Statement of organization, functions, and delegations of authority. The Administration for Children and Families (ACF) has reorganized the Office of Child Support Enforcement (OCSE). This reorganization realigns the functions of the Office of Child Support Enforcement. It eliminates the Office of Automation and Program Operations and moves the functions to the Division of Federal Systems. It also eliminates the Division of Special Staffs and moves the functions to the Division of Program Innovation and the Division of Regional Operations. Additionally, it creates the Division of Regional Operations. There are several Division name changes that are as follows: The Division of Management Services to the Division of Business and Resource Management; the Division of Consumer Services to the Division of Customer Communications; the Division of Planning, Research and Evaluation to the Division of Performance and Statistical Analysis; the Division of Policy to the Division of Policy and Training; and the Division of State, Tribal and Local Assistance to the Division of Program Innovation.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Administration for Children and Families', 'name': 'Children and Families Administration', 'id': 49, 'url': 'https://www.federalregister.gov/agencies/children-and-families-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/49.json', 'parent_id': 221, 'slug': 'children-and-families-administration'}]","['Health and Human Services Department', 'Children and Families Administration']",,2013-10-02,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Business Intelligence
2013-20525,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2013-08-22,,,"Office of the Assistant Secretary for Financial Resources, Statement of Organization, Functions, and Delegations of Authority",[],Notice,Business Intelligence
2013-19391,,Notice.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'International Trade Administration', 'name': 'International Trade Administration', 'id': 261, 'url': 'https://www.federalregister.gov/agencies/international-trade-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/261.json', 'parent_id': 54, 'slug': 'international-trade-administration'}]","['Commerce Department', 'International Trade Administration']",,2013-08-12,,,"Secretarial Infrastructure Business Development Mission to Mexico November 18-23, 2013",[],Notice,Business Intelligence
2012-18813,"The Privacy Office of the Department of Homeland Security (DHS or Department) is making available fifteen new or updated PIAs on various programs and systems in DHS. These assessments were approved and published on the Privacy Office's Web site between March 1, 2012 and May 31, 2012.",Notice of publication of Privacy Impact Assessments (PIA).,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Office of the Secretary'}]","['Homeland Security Department', 'Office of the Secretary']",,2012-08-02,,,Published Privacy Impact Assessments on the Web,[],Notice,Business Intelligence
2012-6163,"This part implements policy, responsibilities and procedures for executing an information assurance scholarship and grant program, known as the DoD Information Assurance Scholarship Program (IASP). The DoD IASP will be used to recruit and retain the nation's top information assurance and information technology talent, which is critical as DoD progresses into the cybersecurity arena.",Final rule.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Office of the Secretary'}]","['Defense Department', 'Office of the Secretary']",2012-04-13,2012-03-14,True,,DoD Information Assurance Scholarship Program (IASP),[],Rule,Business Intelligence
2011-30307,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2011-11-25,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-Fieldbus Foundation,[],Notice,Business Intelligence
2011-22041,"The National Archives and Records Administration (NARA) publishes notice at least once monthly of certain Federal agency requests for records disposition authority (records schedules). Once approved by NARA, records schedules provide mandatory instructions on what happens to records when no longer needed for current Government business. They authorize the preservation of records of continuing value in the National Archives of the United States and the destruction, after a specified period, of records lacking administrative, legal, research, or other value. Notice is published for records schedules in which agencies propose to destroy records not previously authorized for disposal or reduce the retention period of records already authorized for disposal. NARA invites public comments on such records schedules, as required by 44 U.S.C. 3303a(a).",Notice of availability of proposed records schedules; request for comments.,"[{'raw_name': 'NATIONAL ARCHIVES AND RECORDS ADMINISTRATION', 'name': 'National Archives and Records Administration', 'id': 304, 'url': 'https://www.federalregister.gov/agencies/national-archives-and-records-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/304.json', 'parent_id': None, 'slug': 'national-archives-and-records-administration'}]",['National Archives and Records Administration'],,2011-08-29,,,Records Schedules; Availability and Request for Comments,[],Notice,Business Intelligence
2011-14706,This notice announces our intention to sponsor Federally Funded Research and Development Center (FFRDC) to facilitate the modernization of business processes and supporting systems and their operations. This is the third of three notices which must be published over a 90-day period in order to advise the public of the agency's intention to sponsor an FFRDC.,Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2011-06-14,,,Proposed Establishment of a Federally Funded Research and Development Center-Third Notice,[],Notice,Business Intelligence
2011-11708,This notice announces our intention to sponsor a Federally Funded Research and Development Center (FFRDC) to facilitate the modernization of business processes and supporting systems and their operations. This is the second of three notices which must be published over a 90-day period in order to advise the public of the agency's intention to sponsor an FFRDC.,Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2011-05-13,,,Announcement of Notice; Proposed Establishment of a Federally Funded Research and Development Center-Second Notice,[],Notice,Business Intelligence
2011-8942,This notice announces our intention to sponsor Federally Funded Research and Development Center (FFRDC) to facilitate the modernization of business processes and supporting systems and their operations. This is the first of three notices which must be published over a 90-day period in order to advise the public of the agency's intention to sponsor an FFRDC issued under the authority of 48 CFR 35.017.,Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2011-04-13,,,Announcement of Notice; Proposed Establishment of a Federally Funded Research and Development Center-First Notice,[],Notice,Business Intelligence
2011-5475,,,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Employment and Training Administration', 'name': 'Employment and Training Administration', 'id': 133, 'url': 'https://www.federalregister.gov/agencies/employment-and-training-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/133.json', 'parent_id': 271, 'slug': 'employment-and-training-administration'}]","['Labor Department', 'Employment and Training Administration']",,2011-03-10,,,Notice of Determinations Regarding Eligibility To Apply for Worker Adjustment Assistance,[],Notice,Business Intelligence
2011-2245,,,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Employment and Training Administration', 'name': 'Employment and Training Administration', 'id': 133, 'url': 'https://www.federalregister.gov/agencies/employment-and-training-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/133.json', 'parent_id': 271, 'slug': 'employment-and-training-administration'}]","['Labor Department', 'Employment and Training Administration']",,2011-02-02,,,Investigations Regarding Certifications of Eligibility To Apply for Worker Adjustment Assistance,[],Notice,Business Intelligence
2010-16026,,,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Employment and Training Administration', 'name': 'Employment and Training Administration', 'id': 133, 'url': 'https://www.federalregister.gov/agencies/employment-and-training-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/133.json', 'parent_id': 271, 'slug': 'employment-and-training-administration'}]","['Labor Department', 'Employment and Training Administration']",,2010-07-01,,,Notice of Determinations Regarding Eligibility To Apply for Worker Adjustment Assistance,[],Notice,Business Intelligence
2010-3993,"This proposed rule proposes to add a part to DoD regulations to implement policy, responsibilities and procedures for executing an information assurance scholarship and grant program, known as the DoD Information Assurance Scholarship Program (IASP).",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Office of the Secretary'}]","['Defense Department', 'Office of the Secretary']",,2010-03-01,True,,Information Assurance Scholarship Program (IASP),['Scholarships and fellowships'],Proposed Rule,Business Intelligence
E8-22756,"In accordance with section 2330a of Title 10 United States Code as amended by the National Defense Authorization Act for Fiscal Year 2008 (NDAA 08) Section 807, the Assistant Secretary of the Army (Manpower and Reserve Affairs) (ASA(M&RA)), in cooperation with the Deputy Assistant Secretary of the Army (Procurement) (DASA (P)), and in coordination with the Deputy Director, Defense Procurement, Acquisition Policy, and Strategic Sourcing (DPAP/SS) will publicize its Inventory of Contracts for Services. Publication is required not later than 30 days after the date on which the inventory is submitted to Congress. The inventory will be published on the ASA(M&RA) Web site at the following location: http://www.asamra.army.mil/insourcing/.",Notice of publication.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Army', 'name': 'Army Department', 'id': 32, 'url': 'https://www.federalregister.gov/agencies/army-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/32.json', 'parent_id': 103, 'slug': 'army-department'}]","['Defense Department', 'Army Department']",,2008-09-29,,,Inventory of Contracts for Services Pursuant to Section 807 of the National Defense Authorization Act for Fiscal Year 2008,[],Notice,Business Intelligence
E8-13111,"The FTC is revising the notices that it is required to publish under the Privacy Act of 1974 to describe its systems of records about individuals. This action is intended to make these notices clearer, more accurate, and up-to-date. This document also consolidates all of the notices into a single publication for ease of use and reference. This consolidation and revision is designed to promote better public understanding of how and when the FTC collects and uses information about individuals.",Notice of revised system notices with request for comments.,"[{'raw_name': 'FEDERAL TRADE COMMISSION', 'name': 'Federal Trade Commission', 'id': 192, 'url': 'https://www.federalregister.gov/agencies/federal-trade-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/192.json', 'parent_id': None, 'slug': 'federal-trade-commission'}]",['Federal Trade Commission'],2008-07-28,2008-06-12,,,Privacy Act of 1974; System of Records Notices,[],Notice,Business Intelligence
