document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type
2018-10588,The Department of Defense (DoD) is publishing this notice to announce that the following Federal Advisory Committee meeting of the Defense Science Board will take place.,Notice of Federal Advisory Committee meeting.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Office of the Secretary'}]","['Defense Department', 'Office of the Secretary']",,2018-05-18,,,Defense Science Board; Notice of Federal Advisory Committee Meeting,[],Notice
2018-10165,"The National Institute for Occupational Safety and Health of the Centers for Disease Control and Prevention has recently established the Center for Occupational Robotics Research. NIOSH is requesting information to guide the prioritization of research to be undertaken by the Center. NIOSH is seeking input on priority gaps in knowledge on the safety and health of humans working with robotics technology, with an emphasis on worker safety and health research which is unlikely to be completed by other federal agencies, academia, and the private sector.",Request for information and comment.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2018-05-14,,,Occupational Robotics Research Prioritization,[],Notice
2018-08705,"We are proposing to revise the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2019. Some of these proposed changes implement certain statutory provisions contained in the 21st Century Cures Act and the Bipartisan Budget Act of 2018, and other legislation. We also are proposing to make changes relating to Medicare graduate medical education (GME) affiliation agreements for new urban teaching hospitals. In addition, we are proposing to provide the market basket update that would apply to the rate[dash]of[dash]increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis subject to these limits for FY 2019. We are proposing to update the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2019. In addition, we are proposing to establish new requirements or revise existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS[dash]exempt cancer hospitals, and LTCHs). We also are proposing to establish new requirements or revise existing requirements for eligible professionals (EPs), eligible hospitals, and critical access hospitals (CAHs) participating in the Medicare and Medicaid Electronic Health Record (EHR) Incentive Programs (now referred to as the Promoting Interoperability Programs). In addition, we are proposing changes to the requirements that apply to States operating Medicaid Promoting Interoperability Prrograms. We are proposing to update policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program. We also are proposing to make changes relating to the required supporting documentation for an acceptable Medicare cost report submission and the supporting information for physician certification and recertification of claims.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2018-05-07,False,,"Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Proposed Policy Changes and Fiscal Year 2019 Rates; Proposed Quality Reporting Requirements for Specific Providers; Proposed Medicare and Medicaid Electronic Health Record (EHR) Incentive Programs (Promoting Interoperability Programs) Requirements for Eligible Hospitals, Critical Access Hospitals, and Eligible Professionals; Medicare Cost Reporting Requirements; and Physician Certification and Recertification of Claims","['Administrative practice and procedure', 'Emergency medical services', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Kidney diseases', 'Medicaid', 'Medicare', 'Penalties', 'Privacy', 'Puerto Rico', 'Reporting and recordkeeping requirements']",Proposed Rule
2018-09090,"In this document, the Federal Communications Commission (Commission) proposes and seeks comment on a targeted rule to ensure that Universal Service Fund (USF) funding is not spent on equipment or services from suppliers that pose a national security threat to the integrity of communications networks or the communications supply chain.",Proposed rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],,2018-05-02,,,Protecting Against National Security Threats to the Communications Supply Chain Through FCC Programs,"['Communications common carriers', 'Reporting and recordkeeping requirements', 'Telecommunications']",Proposed Rule
2018-08891,"NMFS has received a request from the Scripps Institution of Oceanography (SIO) for authorization to take marine mammals incidental to a low-energy marine geophysical survey in the Northwest Atlantic Ocean. Pursuant to the Marine Mammal Protection Act (MMPA), NMFS is requesting comments on its proposal to issue an incidental harassment authorization (IHA) to incidentally take marine mammals during the specified activities. NMFS will consider public comments prior to making any final decision on the issuance of the requested MMPA authorization and agency responses will be summarized in the final notice of our decision.",Notice; proposed incidental harassment authorization; request for comments.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]","['Commerce Department', 'National Oceanic and Atmospheric Administration']",,2018-04-27,False,,Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to a Low-Energy Geophysical Survey in the Northwest Atlantic Ocean,[],Notice
2018-08830,The Department of Defense (DoD) is publishing this notice to announce that the following Federal advisory committee meeting of the Defense Innovation Board (DIB) will take place.,Notice of Federal Advisory Committee meeting.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}]",['Defense Department'],,2018-04-26,,,Defense Innovation Board; Notice of Federal Advisory Committee Meeting,[],Notice
2018-08673,"In May 2017, the Commodity Futures Trading Commission (``Commission'' or ``CFTC'') launched a new initiative, LabCFTC, to spearhead the CFTC's effort to facilitate the development and implementation of market-enhancing financial technologies (``FinTech''). As part of that effort, CFTC staff are exploring opportunities to play a constructive role to stimulate innovation and leverage FinTech solutions that can enhance our regulated markets and help make the Commission more effective and efficient in satisfying its mission. The Science Prize Competition Act (``SPCA'') authorizes the CFTC to invest federal funds in science and early-stage technology research and development as well as in science, technology, engineering, and mathematics education. Under this authority, the CFTC may implement a competition and award prizes to stimulate innovation designed to advance the CFTC's mission. Accordingly, the Science Prize Competition Act may offer a useful mechanism to further the goals of LabCFTC and the CFTC's mission. This Request for Input solicits feedback on focus areas for potential prize competitions, and how competitions could best be structured and administered. The Commission welcomes all public comments.",Request for input.,"[{'raw_name': 'COMMODITY FUTURES TRADING COMMISSION', 'name': 'Commodity Futures Trading Commission', 'id': 77, 'url': 'https://www.federalregister.gov/agencies/commodity-futures-trading-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/77.json', 'parent_id': None, 'slug': 'commodity-futures-trading-commission'}]",['Commodity Futures Trading Commission'],,2018-04-25,,,Request for Input on LabCFTC Prize Competitions,[],Notice
2018-08574,"This action provides public notice and solicits comment on an alternative work practice (AWP) request under the Clean Air Act, to use new technology and work practices developed for removal and replacement of asbestos cement (A/C) pipe. In this action, the Environmental Protection Agency (EPA) is soliciting comment on all aspects of this request for an AWP that, in order to be approved, should be at least environmentally equivalent to the existing work practices in the National Emission Standards for Hazardous Air Pollutants for Asbestos (Asbestos NESHAP), which applies to the removal and replacement of A/C pipe.",Notification of request for comments.,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",['Environmental Protection Agency'],,2018-04-25,False,,National Emission Standards for Hazardous Air Pollutants for Asbestos: Request for Approval of an Alternative Work Practice for Asbestos Cement Pipe Replacement,[],Notice
2018-06537,"The Commissioner of Food and Drugs (the Commissioner) is denying requests for a hearing and issuing an order withdrawing approval of abbreviated new drug applications (ANDAs) for certain prescription laxatives with the active ingredient polyethylene glycol 3350 (PEG 3350), listed in this document, because the drug products are misbranded under the Federal Food, Drug, and Cosmetic Act (FD&C Act).",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2018-04-02,,,Prescription Polyethylene Glycol 3350; Denial of a Hearing and Order Withdrawing Approval of Abbreviated New Drug Applications,[],Notice
2018-06269,"The Civilian Board of Contract Appeals (Board) proposes to amend its rules of procedure for cases arising under the Contract Disputes Act, and for disputes between insurance companies and the Department of Agriculture's Risk Management Agency in which decisions of the Federal Crop Insurance Corporation are brought before the Board under the Federal Crop Insurance Act. The Board's current rules were issued in 2008 and were last amended in 2011.",Proposed rule.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],,2018-03-28,False,,Civilian Board of Contract Appeals; Rules of Procedure for Contract Disputes Act Cases,"['Administrative practice and procedure', 'Agriculture', 'Government procurement']",Proposed Rule
2018-05345,"The Food and Drug Administration (FDA) is issuing this advance notice of proposed rulemaking (ANPRM) to obtain information for consideration in developing a tobacco product standard to set the maximum nicotine level for cigarettes. Because tobacco-related harms ultimately result from addiction to the nicotine in such products, causing repeated use and exposure to toxicants, FDA is considering taking this action to reduce the level of nicotine in these products so they are minimally addictive or nonaddictive, using the best available science to determine a level that is appropriate for the protection of the public health. FDA is using the term ``nonaddictive'' in this document specifically in the context of a potentially nonaddictive cigarette. We acknowledge the highly addictive potential of nicotine itself depending upon the route of delivery. As discussed elsewhere in this document, questions remain with respect to the precise level of nicotine in cigarettes that might render them either minimally addictive or nonaddictive for specific members or segments of the population. We envision the potential circumstance where nicotine levels in cigarettes do not spur or sustain addiction for some portion of potential smokers. This could give addicted users the choice and ability to quit more easily, and it could help to prevent experimenters (mainly youth) from initiating regular use and becoming regular smokers. The scope of products covered by any potential product standard will be one issue for comment in the ANPRM. Any additional scientific data and research relevant to the empirical basis for regulatory decisions related to a nicotine tobacco product standard is another issue for comment in the ANPRM.",Advance notice of proposed rulemaking.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2018-03-16,False,,Tobacco Product Standard for Nicotine Level of Combusted Cigarettes,[],Proposed Rule
2018-04148,"NMFS has received a request from the U.S. Navy (Navy) for authorization to take marine mammals incidental to conducting construction activities related to marine structure maintenance and pile replacement at facilities in Washington, over the course of five years (2018-2023). As required by the Marine Mammal Protection Act (MMPA), NMFS is proposing regulations to govern that take, and requests comments on the proposed regulations. NMFS will consider public comments prior to making any final decision on the issuance of the requested MMPA authorization and agency responses will be summarized in the final notice of our decision.",Proposed rule; request for comments.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]","['Commerce Department', 'National Oceanic and Atmospheric Administration']",,2018-03-05,False,,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to U.S. Navy Marine Structure Maintenance and Pile Replacement in Washington,"['Exports', 'Fish', 'Imports', 'Indians', 'Labeling', 'Penalties', 'Reporting and recordkeeping requirements', 'Seafood', 'Transportation', 'Marine mammals']",Proposed Rule
2018-04084,"The Information Security and Privacy Advisory Board (ISPAB) will meet Thursday, March 15, 2018 from 9:00 a.m. until 5:00 p.m., Eastern Time, and Friday, March 16, 2018 from 9:00 a.m. until 4:30 p.m. Eastern Time. All sessions will be open to the public.",Notice.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Institute of Standards and Technology', 'name': 'National Institute of Standards and Technology', 'id': 352, 'url': 'https://www.federalregister.gov/agencies/national-institute-of-standards-and-technology', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/352.json', 'parent_id': 54, 'slug': 'national-institute-of-standards-and-technology'}]","['Commerce Department', 'National Institute of Standards and Technology']",,2018-02-28,,,Open Meeting of the Information Security and Privacy Advisory Board,[],Notice
2018-03464,"In this document, the Federal Communications Commission (Commission) returns to the light-touch regulatory scheme that enabled the internet to develop and thrive for nearly two decades. The Commission restores the classification of broadband internet access service as a lightly-regulated information service and reinstates the private mobile service classification of mobile broadband internet access service. The Restoring Internet Freedom Order requires internet service providers (ISPs) to disclose information about their network management practices, performance characteristics, and commercial terms of service. Finding that transparency is sufficient to protect the openness of the internet and that conduct rules have greater costs than benefits, the Order eliminates the conduct rules imposed by the Title II Order.",Final rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],2018-04-23,2018-02-22,,,Restoring Internet Freedom,"['Administrative practice and procedure', 'Cable television', 'Common carriers', 'Communications common carriers', 'Radio', 'Reporting and recordkeeping requirements', 'Satellites', 'Telecommunications', 'Telephone']",Rule
2018-03400,"This final rule amends the Freedom of Information Act (FOIA) regulations for the U.S. Department of Housing and Urban Development (HUD) Office of Inspector General (OIG) to align with HUD's FOIA regulations, to implement the FOIA Improvement Act of 2016, and to explain current OIG policies and practices with respect to FOIA.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228.json', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]",['Housing and Urban Development Department'],2018-03-23,2018-02-21,,,Streamlining the Office of Inspector General's Freedom of Information Act Regulations and Implementing the FOIA Improvement Act of 2016,[],Rule
2018-01305,"The Bureau of Consumer Financial Protection (Bureau) is amending Regulation E, which implements the Electronic Fund Transfer Act, and Regulation Z, which implements the Truth in Lending Act, and the official interpretations to those regulations. This rulemaking relates to a final rule published in the Federal Register on November 22, 2016, as amended on April 25, 2017, regarding prepaid accounts under Regulations E and Z. The Bureau is finalizing modifications to several aspects of that rule, including with respect to error resolution and limitations on liability for prepaid accounts where the financial institution has not successfully completed its consumer identification and verification process; application of the rule's credit-related provisions to digital wallets that are capable of storing funds; certain other clarifications and minor adjustments; technical corrections; and an extension of the overall effective date to April 1, 2019.",Final rule; official interpretation; delay of effective date.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],2019-04-01,2018-02-13,False,,Rules Concerning Prepaid Accounts Under the Electronic Fund Transfer Act (Regulation E) and the Truth in Lending Act (Regulation Z),"['Advertising', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Consumer protection', 'Credit', 'Credit unions', 'Electronic funds transfers', 'Mortgages', 'National banks', 'Reporting and recordkeeping requirements', 'Savings associations', 'Truth in lending']",Rule
2017-28172,"This proposed rule would amend the National List of Allowed and Prohibited Substances (National List) provisions of the U.S. Department of Agriculture's (USDA's) organic regulations to implement recommendations submitted to the Secretary of Agriculture (Secretary) by the National Organic Standards Board (NOSB). This rule proposes to change the use restrictions for seventeen substances allowed for organic production or handling on the National List: Micronutrients; chlorhexidine; parasiticides; fenbendazole; moxidectin; xylazine; lidocaine; procaine; methionine; excipients; alginic acid; flavors; carnauba wax; chlorine; cellulose; colors; and, glycerin. This rule also proposes to add sixteen new substances on the National List to be allowed in organic production or handling: Hypochlorous acid; magnesium oxide; squid byproducts; activated charcoal; calcium borogluconate; calcium propionate; injectable vitamins, minerals, and electrolytes; kaolin pectin; mineral oil; propylene glycol; acidified sodium chlorite; zinc sulfate; potassium lactate; and, sodium lactate. In addition, this proposed rule would list the botanical pesticide, rotenone, as a prohibited substance in organic crop production. Finally, this proposed rule would remove ivermectin as an allowed parasiticide for use in organic livestock production.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Agricultural Marketing Service', 'name': 'Agricultural Marketing Service', 'id': 9, 'url': 'https://www.federalregister.gov/agencies/agricultural-marketing-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/9.json', 'parent_id': 12, 'slug': 'agricultural-marketing-service'}]","['Agriculture Department', 'Agricultural Marketing Service']",,2018-01-17,False,,"National Organic Program; Amendments to the National List of Allowed and Prohibited Substances (Crops, Livestock and Handling)","['Administrative practice and procedure', 'Agriculture', 'Animals', 'Archives and records', 'Imports', 'Labeling', 'Plants', 'Reporting and recordkeeping requirements', 'Seals and insignia', 'Soil conservation']",Proposed Rule
2017-28207,"Publication of the Unified Agenda of Regulatory and Deregulatory Actions and the Regulatory Plan represent key components of the regulatory planning mechanism prescribed in Executive Order 12866, ``Regulatory Planning and Review,'' Executive Order 13771, ``Reducing Regulation and Controlling Regulatory Costs,'' January 30, 2017, and Executive Order 13777, ``Enforcing the Regulatory Reform Agenda,'' February 24, 2017. The fall editions of the Unified Agenda include the agency regulatory plans required by E.O. 12866, which identify regulatory priorities and provide additional detail about the most important significant regulatory actions that agencies expect to take in the coming year. In addition, the Regulatory Flexibility Act requires that agencies publish semiannual ``regulatory flexibility agendas'' describing regulatory actions they are developing that will have significant effects on small businesses and other small entities (5 U.S.C. 602). The Unified Agenda of Regulatory and Deregulatory Actions (Unified Agenda), published in the fall and spring, helps agencies fulfill all of these requirements. All federal regulatory agencies have chosen to publish their regulatory agendas as part of this publication. The complete Unified Agenda and Regulatory Plan can be found online at http://www.reginfo.gov and a reduced print version can be found in the Federal Register. Information regarding obtaining printed copies can also be found on the Reginfo.gov website (or below, VI. How Can Users Get Copies of the Plan and the Agenda?). The fall 2017 Unified Agenda publication appearing in the Federal Register includes the Regulatory Plan and agency regulatory flexibility agendas, in accordance with the publication requirements of the Regulatory Flexibility Act. Agency regulatory flexibility agendas contain only those Agenda entries for rules that are likely to have a significant economic impact on a substantial number of small entities and entries that have been selected for periodic review under section 610 of the Regulatory Flexibility Act. The complete fall 2017 Unified Agenda contains the Regulatory Plans of 30 Federal agencies and 60 Federal agency regulatory agendas.",Introduction to the Regulatory Plan and the Unified Agenda of Federal Regulatory and Deregulatory Actions.,"[{'raw_name': 'REGULATORY INFORMATION SERVICE CENTER', 'name': 'Regulatory Information Service Center', 'id': 449, 'url': 'https://www.federalregister.gov/agencies/regulatory-information-service-center', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/449.json', 'parent_id': None, 'slug': 'regulatory-information-service-center'}]",['Regulatory Information Service Center'],,2018-01-12,,,Introduction to the Unified Agenda of Federal Regulatory and Deregulatory Actions-Fall 2017,[],Uncategorized Document
2018-00365,,,"[{'raw_name': 'DEPARTMENT OF STATE', 'name': 'State Department', 'id': 476, 'url': 'https://www.federalregister.gov/agencies/state-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/476.json', 'parent_id': None, 'slug': 'state-department'}]",['State Department'],,2018-01-11,,,Office of the Chief of Protocol; Gifts to Federal Employees From Foreign Government Sources Reported to Employing Agencies in Calendar Year 2016,[],Notice
2018-00120,The Interagency Coordinating Committee on the Validation of Alternative Methods (ICCVAM) announces a public webinar ``Machine Learning in Toxicology: Fundamentals of Application and Interpretation.'' The webinar is organized on behalf of ICCVAM by the National Toxicology Program Interagency Center for the Evaluation of Alternative Toxicological Methods (NICEATM). Interested persons may participate via WebEx. Time will be allotted for questions from the audience.,Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2018-01-08,,,Interagency Coordinating Committee on the Validation of Alternative Methods Communities of Practice Webinar on Machine Learning in Toxicology: Fundamentals of Application and Interpretation; Notice of Public Webinar; Registration Information,[],Notice
2017-27746,"In this document, the Federal Communications Commission (Commission) proposes measured steps as part of a Notice of Proposed Rulemaking and Order to ensure that rural healthcare providers get the support they need while guarding against waste, fraud, and abuse, considers a series of measures to ensure the Rural Health Care (RHC) Program operates efficiently and considers the appropriate size of the funding cap. The Commission takes targeted, immediate action in the Order section of the item to mitigate the impact of the existing RHC Program cap on rural healthcare providers in funding year (FY) 2017. Because the Order section does not establish any final rules, we do not incorporate the Order section in this document.",Proposed rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],,2018-01-03,,,Promoting Telehealth in Rural America,"['Communications common carriers', 'Reporting and recordkeeping requirements', 'Reporting and recordkeeping requirements', 'Telecommunications', 'Telephone']",Proposed Rule
2017-27198,"In this document, a Report and Order takes a number of actions aimed at removing unnecessary regulatory barriers to the deployment of high-speed broadband networks. The Report and Order adopts pole attachment reforms, changes to the copper retirement and other network change notification processes, and changes to the section 214(a) discontinuance application process. The Commission adopted the Report and Order in conjunction with a Declaratory Ruling and Further Notice of Proposed Rulemaking (FNPRM) in WC Docket No. 17-84, published elsewhere in this issue of the Federal Register.",Final rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],2018-01-29,2017-12-28,,,Accelerating Wireline Broadband Deployment by Removing Barriers to Infrastructure Investment,[],Rule
2017-27877,"The Office of High Energy Physics (HEP) in the Department of Energy (DOE) invites interested parties to provide input on topical areas in which progress in quantum information science can inform high energy physics, and on contributions that the high energy physics community can make to advancing quantum information science.",Notice of request for information (RFI).,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2017-12-27,,,"Office of Science, Office of High Energy Physics; Request for Information: Impacts From and to Quantum Information Science in High Energy Physics",[],Notice
