document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2018-18185,"In accordance with the Federal Advisory Committee Act, the CDC announces the following meeting for the Mine Safety and Health Research Advisory Committee (MSHRAC), Metal Mining Automation and Advanced Technologies (MMAAT) Workgroup. This meeting is open to the public, limited only by the space available. The public is welcome to submit written comments in advance of the meeting to the contact person below. Written comments received in advance of the meeting will be included in the official record of the meeting.",Notice of meeting.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2018-08-23,,,"Mine Safety and Health Research Advisory Committee (MSHRAC), Metal Mining Automation and Advanced Technologies (MMAAT) Workgroup",[],Notice,Data Analytics
2018-17101,"Under the Medicare Shared Savings Program (Shared Savings Program), providers of services and suppliers that participate in an Accountable Care Organization (ACO) continue to receive traditional Medicare fee-for-service (FFS) payments under Parts A and B, but the ACO may be eligible to receive a shared savings payment if it meets specified quality and savings requirements. The policies included in this proposed rule would provide a new direction for the Shared Savings Program by establishing pathways to success through redesigning the participation options available under the program to encourage ACOs to transition to two-sided models (in which they may share in savings and are accountable for repaying shared losses). These proposed policies are designed to increase savings for the Trust Funds and mitigate losses, reduce gaming opportunities, and promote regulatory flexibility and free-market principles. The proposed rule also would provide new tools to support coordination of care across settings and strengthen beneficiary engagement; ensure rigorous benchmarking; promote interoperable electronic health record technology among ACO providers/ suppliers; and improve information sharing on opioid use to combat opioid addiction.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2018-08-17,False,,Medicare Program; Medicare Shared Savings Program; Accountable Care Organizations-Pathways to Success,"['Administrative practice and procedure', 'Biologics', 'Drugs', 'Health facilities', 'Health professions', 'Kidney diseases', 'Medicare', 'Reporting and recordkeeping requirements']",Proposed Rule,Data Analytics
2018-16608,"The Federal Trade Commission seeks comment in connection with a forthcoming series of public hearings in the fall and winter 2018 to examine whether broad-based changes in the economy, evolving business practices, new technologies, or international developments might require adjustments to competition and consumer protection law, enforcement priorities, and policy. These hearings will cover a range of issues listed in the SUPPLEMENTARY INFORMATION section below. The Commission seeks the views of consumers, business representatives, economists, lawyers, academics, information technology professionals, and other interested parties. Commenters are invited to address one or more of the following topics generally, or with respect to a specific industry.",Notice of hearings and request for comments.,"[{'raw_name': 'FEDERAL TRADE COMMISSION', 'name': 'Federal Trade Commission', 'id': 192, 'url': 'https://www.federalregister.gov/agencies/federal-trade-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/192.json', 'parent_id': None, 'slug': 'federal-trade-commission'}]",['Federal Trade Commission'],,2018-08-06,,,Hearings on Competition and Consumer Protection in the 21st Century,[],Notice,Data Analytics
2018-15740,"The Indian Health Service (IHS) is developing an Agency-wide Strategic Plan to guide the work and strengthen partnerships with Tribes and Urban Indian Organizations. The IHS is seeking public comment on its Draft IHS Strategic Plan fiscal year (FY) 2018-2022 (Draft IHS Strategic Plan FY 2018-2022). Additionally, notice is given that the IHS will conduct a Tribal Consultation and Urban Indian Confer regarding the Draft IHS Strategic Plan FY 2018-2022. In addition to the virtual town hall sessions, the IHS will seek other opportunities to solicit input from Tribal and Urban Indian programs on the Draft IHS Strategic Plan FY 2018-2022 during the comment period. For IHS Strategic Plan events during the comment period, please check the IHS Event Calendar at: https://www.ihs.gov/ihscalendar/.",Request for comments; notice of Tribal Consultation and Urban Indian Confer.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Indian Health Service', 'name': 'Indian Health Service', 'id': 237, 'url': 'https://www.federalregister.gov/agencies/indian-health-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/237.json', 'parent_id': 221, 'slug': 'indian-health-service'}]","['Health and Human Services Department', 'Indian Health Service']",,2018-07-24,,,Draft Indian Health Service Strategic Plan Fiscal Year 2018-2022,[],Notice,Data Analytics
2018-15105,"In accordance with the Federal Advisory Committee Act, this notice announces a meeting of the National Advisory Council for Healthcare Research and Quality.",Notice of public meeting.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Agency for Healthcare Research and Quality', 'name': 'Agency for Healthcare Research and Quality', 'id': 5, 'url': 'https://www.federalregister.gov/agencies/agency-for-healthcare-research-and-quality', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/5.json', 'parent_id': 221, 'slug': 'agency-for-healthcare-research-and-quality'}]","['Health and Human Services Department', 'Agency for Healthcare Research and Quality']",,2018-07-16,,,Meeting of the National Advisory Council for Healthcare Research and Quality,[],Notice,Data Analytics
2018-14075,The Administrative Conference of the United States adopted three recommendations at its Sixty-Ninth Plenary Session. The appended recommendations address: Paperwork Reduction Act Efficiencies; Severability in Agency Rulemaking (formerly titled Minimizing the Cost of Judicial Review; and Electronic Case Management in Federal Administrative Adjudication. A fourth recommendation on the topic of Administrative Judges was recommitted to the committee of jurisdiction for further consideration. A working group convened by the Office of the Chairman presented the Conference's Model Adjudication Rules (rev. 2018).,Notice.,"[{'raw_name': 'ADMINISTRATIVE CONFERENCE OF THE UNITED STATES', 'name': 'Administrative Conference of the United States', 'id': 566, 'url': 'https://www.federalregister.gov/agencies/administrative-conference-of-the-united-states', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/566.json', 'parent_id': None, 'slug': 'administrative-conference-of-the-united-states'}]",['Administrative Conference of the United States'],,2018-06-29,,,Adoption of Recommendations,[],Notice,Data Analytics
2018-12891,"The General Services Administration (GSA) is soliciting information from the providers of commercial e-Commerce Portals in order to complete Phase II of the requirements enacted in Section 846 of the National Defense Authorization Act (NDAA) for Fiscal Year 2018, Procurement through Commercial e-Commerce Portals. Note: A separate RFI is posted for suppliers who sell products through commercial e-commerce portal. Throughout the design of this program, GSA and the Office of Management and Budget (OMB) have emphasized open and ongoing engagement. The questions in this RFI are intended to continue the dialogue and to allow GSA and OMB both to draft the Phase II report (due to Congress in March 2019) and to move towards phased implementation later in 2019.",Request for information.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],,2018-06-15,,,Request for Information From Platform Providers of Commercial e-Commerce Portals,[],Notice,Data Analytics
2018-12416,"In accordance with the Privacy Act of 1974, the Department of Homeland Security (DHS) proposes to establish a new DHS system of records titled, ``Department of Homeland Security/U.S. Customs and Border Protection--025 National Frontline Recruitment and Hiring System of Records.'' This system of records allows the DHS/U.S. Customs and Border Protection (CBP) to collect and maintain records on individuals for the purpose of marketing information related to CBP employment, managing communication with potential applicants or individuals who attend career fairs or meetings at which CBP maintains a presence for recruitment and hiring, and for other recruitment and hiring activities for which mailing or contact lists may be created. This newly established system will be included in DHS's inventory of record systems.",Notice of a new system of records.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}]",['Homeland Security Department'],2018-07-11,2018-06-11,,,Privacy Act of 1974; System of Records,[],Notice,Data Analytics
2018-11272,,,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2018-05-25,,,Advisory Committee for International Science and Engineering; Notice of Meeting,[],Notice,Data Analytics
2018-11125,The Administration for Children and Families (ACF) has realigned The Office of the Deputy Assistant Secretary for Administration (ODASA). This realignment removes the Office of the Chief Information Officer as a direct report to the Assistant Secretary for Children and Families and realigns the Office within the ODASA. It moves the National Grants Center of Excellence to the ODASA's Immediate Office. It also removes the Ethics and Facilities team from the Immediate Office of the ODASA and places the functions in the Office of Workforce Planning and Development.,Notice: Realignment of the Office of the Deputy Assistant Secretary for Administration.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Administration for Children and Families', 'name': 'Children and Families Administration', 'id': 49, 'url': 'https://www.federalregister.gov/agencies/children-and-families-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/49.json', 'parent_id': 221, 'slug': 'children-and-families-administration'}]","['Health and Human Services Department', 'Children and Families Administration']",,2018-05-24,,,"Office of the Deputy Assistant Secretary for Administration Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Analytics
2018-09450,,,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}, {'raw_name': 'Federal Energy Regulatory Commission', 'name': 'Federal Energy Regulatory Commission', 'id': 167, 'url': 'https://www.federalregister.gov/agencies/federal-energy-regulatory-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/167.json', 'parent_id': 136, 'slug': 'federal-energy-regulatory-commission'}]","['Energy Department', 'Federal Energy Regulatory Commission']",,2018-05-04,,,Distributed Energy Resources-Technical Considerations for the Bulk Power System; Notice Inviting Post-Technical Conference Comments,[],Notice,Data Analytics
2018-09362,"In accordance with the Privacy Act, we are issuing public notice of our intent to establish a new system of records entitled, Anti-Fraud Enterprise Solution (AFES) (60-0388), hereinafter called the AFES Record System. The AFES Record System is an agency-wide and overarching system that includes the ability to detect, prevent, and mitigate fraud in SSA's programs. The AFES Record System will collect and maintain personally identifiable information (PII) to assist in identifying suspicious or potentially fraudulent activities performed by individuals across all the agency's programs and service delivery methods. This notice publishes details of the system as set forth under the caption, SUPPLEMENTARY INFORMATION.",Notice of a new system of records.,"[{'raw_name': 'Social Security Administration', 'name': 'Social Security Administration', 'id': 470, 'url': 'https://www.federalregister.gov/agencies/social-security-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/470.json', 'parent_id': None, 'slug': 'social-security-administration'}]",['Social Security Administration'],2018-06-04,2018-05-03,,,Privacy Act of 1974; System of Records,[],Notice,Data Analytics
2018-08673,"In May 2017, the Commodity Futures Trading Commission (``Commission'' or ``CFTC'') launched a new initiative, LabCFTC, to spearhead the CFTC's effort to facilitate the development and implementation of market-enhancing financial technologies (``FinTech''). As part of that effort, CFTC staff are exploring opportunities to play a constructive role to stimulate innovation and leverage FinTech solutions that can enhance our regulated markets and help make the Commission more effective and efficient in satisfying its mission. The Science Prize Competition Act (``SPCA'') authorizes the CFTC to invest federal funds in science and early-stage technology research and development as well as in science, technology, engineering, and mathematics education. Under this authority, the CFTC may implement a competition and award prizes to stimulate innovation designed to advance the CFTC's mission. Accordingly, the Science Prize Competition Act may offer a useful mechanism to further the goals of LabCFTC and the CFTC's mission. This Request for Input solicits feedback on focus areas for potential prize competitions, and how competitions could best be structured and administered. The Commission welcomes all public comments.",Request for input.,"[{'raw_name': 'COMMODITY FUTURES TRADING COMMISSION', 'name': 'Commodity Futures Trading Commission', 'id': 77, 'url': 'https://www.federalregister.gov/agencies/commodity-futures-trading-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/77.json', 'parent_id': None, 'slug': 'commodity-futures-trading-commission'}]",['Commodity Futures Trading Commission'],,2018-04-25,,,Request for Input on LabCFTC Prize Competitions,[],Notice,Data Analytics
2018-07341,,,"[{'raw_name': 'DEPARTMENT OF VETERANS AFFAIRS', 'name': 'Veterans Affairs Department', 'id': 520, 'url': 'https://www.federalregister.gov/agencies/veterans-affairs-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/520.json', 'parent_id': None, 'slug': 'veterans-affairs-department'}]",['Veterans Affairs Department'],,2018-04-10,,,"VA Prevention of Fraud, Waste, and Abuse Advisory Committee, Notice of Meeting",[],Notice,Data Analytics
2018-05656,"Pursuant to the Privacy Act of 1974 and Office of Management and Budget (OMB) Circular No. A-108, notice is hereby given that the Office of Inspector General (OIG), a component within the United States Department of Justice (DOJ or Department), is publishing a new system of records notice titled ``Data Analytics Program Records System,'' JUSTICE/OIG-006. OIG proposes to establish this system of records to assist with the performance of audits, investigations, and reviews, and to accommodate the requirements of the Digital Accountability and Transparency Act of 2014 (DATA Act).",Notice of a new system of records.,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}]",['Justice Department'],,2018-03-28,,,Privacy Act of 1974; Systems of Records,[],Notice,Data Analytics
2018-05657,"Elsewhere in this issue of the Federal Register, the Office of Inspector General (OIG), a component within the United States Department of Justice (DOJ or Department), has published a new system of records notice, ``Data Analytics Program Records System,'' JUSTICE/ OIG-006. In this notice of proposed rulemaking, OIG proposes to exempt this system of records from certain provisions of the Privacy Act in order to avoid interference with the law enforcement functions and responsibilities of OIG. For the reasons provided below, the Department proposes to amend its Privacy Act regulations by establishing an exemption for records in this system from certain provisions of the Privacy Act. Public comment is invited.",Notice of proposed rulemaking.,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}]",['Justice Department'],,2018-03-28,,,Privacy Act of 1974; Implementation,"['Administrative practice and procedure', 'Courts', 'Freedom of information', 'Privacy']",Proposed Rule,Data Analytics
2017-07555,"This notice announces the issuance of the January 12, 2017 single-source cooperative agreement funding opportunity announcement to begin the Pennsylvania Rural Health Model's implementation activities, titled ``Funding in Support of the Pennsylvania Rural Health Model Cooperative Agreement'' (the ``Funding Opportunity''). This Funding Opportunity is available solely to the Commonwealth of Pennsylvania acting through the Pennsylvania Department of Health (the ``Commonwealth''). This Funding Opportunity provides the Commonwealth with necessary start-up funding for the Model and is open to the Pennsylvania Department of Health, and, once established, the Rural Health Redesign Center (RHRC) (or in the event that the RHRC is not established, the Pennsylvania Department of Health).",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2017-04-14,,,Medicare Program; Funding in Support of the Pennsylvania Rural Health Model-Cooperative Agreement,[],Notice,Data Analytics
2017-01412,"In accordance with the Privacy Act, the United States Department of Agriculture, Office of Inspector General (USDA OIG) publishes this records notice to modify an existing system of records, USDA/OIG-8, the Research Aggregated Data Analysis Repository (RADAR) System, in order to update certain system information, including the system owner, and to clarify the records contained in the system and the purpose of the system.",Notice of a modified system of records.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Office of Inspector General'}]","['Agriculture Department', 'Office of Inspector General']",,2017-01-23,,,Privacy Act of 1974; System of Records,[],Notice,Data Analytics
2017-00156,"This action sets forth the Environmental Protection Agency's (EPA's) final decision on the issues for which it announced reconsideration on July 12, 2016, that pertain to certain aspects of the June 30, 2015, final amendments for the Ferroalloys Production source category regulated under national emission standards for hazardous air pollutants (NESHAP). The EPA is amending the rule to allow existing facilities with positive pressure baghouses to perform visible emissions monitoring twice daily as an alternative to installing and operating bag leak detection systems (BLDS) to ensure the baghouses are operating properly. In addition, this final action explains that EPA is maintaining the requirement that facilities must use a digital camera opacity technique (DCOT) method to demonstrate compliance with opacity limits. However, this final action revises the rule such that it references the recently updated version of the DCOT method. In this action, the EPA also explains that no changes are being made regarding the rule provision that requires quarterly polycyclic aromatic hydrocarbons (PAH) emission testing for furnaces producing ferromanganese (FeMn) with an opportunity for facilities to request decreased compliance test frequency from their permitting authority after the first year. Furthermore, in this action, the EPA is denying the request for reconsideration of the PAH emission limits for both FeMn and silicomanganese (SiMn) production furnaces.",Final rule; notice of final action on reconsideration.,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",['Environmental Protection Agency'],2017-01-18,2017-01-18,False,,National Emission Standards for Hazardous Air Pollutants: Ferroalloys Production,"['Administrative practice and procedure', 'Air pollution control', 'Environmental protection', 'Hazardous substances', 'Intergovernmental relations', 'Reporting and recordkeeping requirements']",Rule,Data Analytics
2016-30746,"This final rule implements three new Medicare Parts A and B episode payment models, a Cardiac Rehabilitation (CR) Incentive Payment model and modifications to the existing Comprehensive Care for Joint Replacement model under section 1115A of the Social Security Act. Acute care hospitals in certain selected geographic areas will participate in retrospective episode payment models targeting care for Medicare fee- for-service beneficiaries receiving services during acute myocardial infarction, coronary artery bypass graft, and surgical hip/femur fracture treatment episodes. All related care within 90 days of hospital discharge will be included in the episode of care. We believe these models will further our goals of improving the efficiency and quality of care for Medicare beneficiaries receiving care for these common clinical conditions and procedures.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2017-02-18,2017-01-03,True,,Medicare Program; Advancing Care Coordination Through Episode Payment Models (EPMs); Cardiac Rehabilitation Incentive Payment Model; and Changes to the Comprehensive Care for Joint Replacement Model (CJR),"['Administrative practice and procedure', 'Administrative practice and procedure', 'Health facilities', 'Health professions', 'Medicare', 'Reporting and recordkeeping requirements']",Rule,Data Analytics
2016-29848,"Publication of the Unified Agenda of Regulatory and Deregulatory Actions and the Regulatory Plan represent key components of the regulatory planning mechanism prescribed in Executive Order 12866, ``Regulatory Planning and Review'' (58 FR 51735) and incorporated in Executive Order 13563, ``Improving Regulation and Regulatory Review'' issued on January 18, 2011 (76 FR 3821). The fall editions of the Unified Agenda include the agency regulatory plans required by E.O. 12866, which identify regulatory priorities and provide additional detail about the most important significant regulatory actions that agencies expect to take in the coming year. In addition, the Regulatory Flexibility Act requires that agencies publish semiannual ``regulatory flexibility agendas'' describing regulatory actions they are developing that will have significant effects on small businesses and other small entities (5 U.S.C. 602). The Unified Agenda of Regulatory and Deregulatory Actions (Unified Agenda), published in the fall and spring, helps agencies fulfill all of these requirements. All federal regulatory agencies have chosen to publish their regulatory agendas as part of this publication. The complete Unified Agenda and Regulatory Plan can be found online at http://www.reginfo.gov and a reduced print version can be found in the Federal Register. Information regarding obtaining printed copies can also be found on the Reginfo.gov Web site (or below, VI. How can users get copies of the Plan and the Agenda?). The fall 2016 Unified Agenda publication appearing in the Federal Register consists of The Regulatory Plan and agency regulatory flexibility agendas, in accordance with the publication requirements of the Regulatory Flexibility Act. Agency regulatory flexibility agendas contain only those Agenda entries for rules that are likely to have a significant economic impact on a substantial number of small entities and entries that have been selected for periodic review under section 610 of the Regulatory Flexibility Act. The complete fall 2016 Unified Agenda contains the Regulatory Plans of 30 Federal agencies and 60 Federal agency regulatory agendas.",Introduction to the Regulatory Plan and the Unified Agenda of Federal Regulatory and Deregulatory Actions.,"[{'raw_name': 'REGULATORY INFORMATION SERVICE CENTER', 'name': 'Regulatory Information Service Center', 'id': 449, 'url': 'https://www.federalregister.gov/agencies/regulatory-information-service-center', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/449.json', 'parent_id': None, 'slug': 'regulatory-information-service-center'}]",['Regulatory Information Service Center'],,2016-12-23,,,Introduction to the Unified Agenda of Federal Regulatory and Deregulatory Actions-Fall 2016,[],Uncategorized Document,Data Analytics
2016-29519,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2016-12-08,,Executive Order,Safeguarding the Nation From the Impacts of Invasive Species,[],Presidential Document,Data Analytics
2016-28006,"In this document, the Federal Communications Commission (Commission) adopts final rules based on public comments applying the privacy requirements of the Communications Act of 1934, as amended, to broadband Internet access service (BIAS) and other telecommunications services. In adopting these rules the Commission implements the statutory requirement that telecommunications carriers protect the confidentiality of customer proprietary information. The privacy framework in these rules focuses on transparency, choice, and data security, and provides heightened protection for sensitive customer information, consistent with customer expectations. The rules require carriers to provide privacy notices that clearly and accurately inform customers; obtain opt-in or opt-out customer approval to use and share sensitive or non-sensitive customer proprietary information, respectively; take reasonable measures to secure customer proprietary information; provide notification to customers, the Commission, and law enforcement in the event of data breaches that could result in harm; not condition provision of service on the surrender of privacy rights; and provide heightened notice and obtain affirmative consent when offering financial incentives in exchange for the right to use a customer's confidential information. The Commission also revises its current telecommunications privacy rules to harmonize today's privacy rules for all telecommunications carriers, and provides a tailored exemption from these rules for enterprise customers of telecommunications services other than BIAS.",Final rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],2017-01-03,2016-12-02,,,Protecting the Privacy of Customers of Broadband and Other Telecommunications Services,"['Claims', 'Communications common carriers', 'Computer technology', 'Credit', 'Foreign relations', 'Individuals with disabilities', 'Political candidates', 'Radio', 'Reporting and recordkeeping requirements', 'Telecommunications', 'Telegraph', 'Telephone']",Rule,Data Analytics
2016-28225,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2016-11-23,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Analytics
2016-27556,"The United States Department of Commerce, International Trade Administration (ITA), is organizing a Trade Mission to Taiwan and Hong Kong, with an optional stop in Guangzhou (China), focused on Smart Technologies in the Information and Communication Technology Sector on April 24-28, 2017. The goal of this trade mission is to provide U.S. participants with first-hand market information and one-on-one meetings with technology partners in Taiwan, Hong Kong, and Guangzhou, including potential agents and distributors of smart technologies, so they can position themselves to enter or expand their presence in those markets. The mission is intended to help expand U.S. exports to Hong Kong, Taiwan, and China for U.S. technology providers of smart transportation, smart building and financial technology (fintech). The mission will introduce these suppliers to business partners, industry representatives, and government officials in Taiwan and Hong Kong, with an optional stop in Guangzhou (for smart transportation and smart building only) to learn about and benefit from various smart city projects and opportunities in these respective cities. Increasingly, smart city technologies are seen as means to keep metropolitan and national economies competitive. A smart city market research report published by Navigant in 2014 forecast that the annual smart city technology investment in the Greater China region (China, Taiwan and Hong Kong) will grow from US$1 billion to US$5 billion by 2023. This figure represents only the smart technology part of much larger smart city projects across different industries and sectors, such as:",Notice.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'International Trade Administration', 'name': 'International Trade Administration', 'id': 261, 'url': 'https://www.federalregister.gov/agencies/international-trade-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/261.json', 'parent_id': 54, 'slug': 'international-trade-administration'}]","['Commerce Department', 'International Trade Administration']",,2016-11-16,,,Smart Technologies Trade Mission to Taiwan and Hong Kong With an Optional Stop in Guangzhou (China),[],Notice,Data Analytics
