document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-14376,"Pursuant to title I of the Orrin G. Hatch-Bob Goodlatte Music Modernization Act, and following a solicitation of proposals and public comment on those proposals, the Register is designating the entities who will perform certain functions relating to the compulsory license for digital music providers to make and distribute digital phonorecord deliveries. For the reasons published in this document, the Register designates Mechanical Licensing Collective, Inc. as the mechanical licensing collective and Digital Licensee Coordinator, Inc. as the digital licensee coordinator, including their individual proposed board members.",Final rule.,"[{'raw_name': 'LIBRARY OF CONGRESS', 'name': 'Library of Congress', 'id': 277, 'url': 'https://www.federalregister.gov/agencies/library-of-congress', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/277.json', 'parent_id': None, 'slug': 'library-of-congress'}, {'raw_name': 'U.S. Copyright Office', 'name': 'Copyright Office, Library of Congress', 'id': 87, 'url': 'https://www.federalregister.gov/agencies/copyright-office-library-of-congress', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/87.json', 'parent_id': 277, 'slug': 'copyright-office-library-of-congress'}]","['Library of Congress', 'Copyright Office, Library of Congress']",2019-07-08,2019-07-08,,,Designation of Music Licensing Collective and Digital Licensee Coordinator,"['Copyright', 'Recordings']",Rule,Artificial Intelligence
2019-13633,"Notice is hereby given of meetings of the U.S.-China Economic and Security Review Commission to review and edit drafts of the 2019 Annual Report to Congress. The Commission is mandated by Congress to investigate, assess, and report to Congress annually on the ``the national security implications of the economic relationship between the United States and the People's Republic of China.'' Pursuant to this mandate, the Commission will hold public meetings to review and edit drafts of the 2019 Annual Report to Congress.",Notice of open public meetings.,"[{'raw_name': 'U.S.-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION', 'name': 'U.S.-China Economic and Security Review Commission', 'id': 505, 'url': 'https://www.federalregister.gov/agencies/u-s-china-economic-and-security-review-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/505.json', 'parent_id': None, 'slug': 'u-s-china-economic-and-security-review-commission'}]",['U.S.-China Economic and Security Review Commission'],,2019-06-26,,,Notice of Open Public Meetings,[],Notice,Artificial Intelligence
2019-13477,"The FDIC plans periodically to conduct prize competitions under authority of Section 24 of the Stevenson-Wydler Technology Innovation Act of 1980 and the Federal Deposit Insurance Act. The FDIC is proposing a new generic collection of information for prize competition participants. The FDIC invites the general public, including persons who may have an interest in participating in FDIC- sponsored or co-sponsored prize competitions, and other Federal agencies to comment on the proposal, as required by the Paperwork Reduction Act of 1995. At the end of the comment period, any comments and recommendations received will be reviewed to determine the extent to which the collection should be modified prior to the submission to OMB for review and approval.",Notice and request for comment.,"[{'raw_name': 'FEDERAL DEPOSIT INSURANCE CORPORATION', 'name': 'Federal Deposit Insurance Corporation', 'id': 164, 'url': 'https://www.federalregister.gov/agencies/federal-deposit-insurance-corporation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/164.json', 'parent_id': None, 'slug': 'federal-deposit-insurance-corporation'}]",['Federal Deposit Insurance Corporation'],,2019-06-25,,,Agency Information Collection Activities: Proposed Collection; Comment Request Re: Information Collection for Generic Clearance for Prize Competition Participation (OMB No. 3064-NEW),[],Notice,Artificial Intelligence
2019-13066,"The Department of Defense (DoD) is publishing this notice to announce that the following Federal Advisory Committee meeting of the Defense Innovation Board, will take place.",Notice of Federal Advisory Committee meeting.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Office of the Secretary'}]","['Defense Department', 'Office of the Secretary']",,2019-06-20,,,Defense Innovation Board; Notice of Federal Advisory Committee Meeting,[],Notice,Artificial Intelligence
2019-13000,The Department of Defense is publishing this notice to announce that the following Federal Advisory Committee meeting of the U.S. Army Science Board (ASB) will take place.,Notice of Federal Advisory Committee meeting.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Army', 'name': 'Army Department', 'id': 32, 'url': 'https://www.federalregister.gov/agencies/army-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/32.json', 'parent_id': 103, 'slug': 'army-department'}]","['Defense Department', 'Army Department']",,2019-06-19,,,U.S. Army Science Board; Notice of Federal Advisory Committee Meeting,[],Notice,Artificial Intelligence
2019-12866,"On behalf of the National Science and Technology Council's (NSTC) Fast-Track Action Committee (FTAC) on Strategic Computing (SC), NITRD NCO requests input from all interested parties on the goals and necessary approaches for sustaining and enhancing U.S. scientific, technological, and economic leadership in strategic computing.",Notice of request for information.,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2019-06-18,,,Request for Information on Update to Strategic Computing Objectives,[],Notice,Artificial Intelligence
2019-11550,"The National Institute of Standards and Technology (NIST) extends the period for submitting written comments on the request for information (RFI) entitled ``Artificial Intelligence Standards,'' published on May 1, 2019. The public comment period was originally scheduled to close on May 31, 2019; the public comment period is extended to now close on June 10, 2019. NIST is taking this action to provide additional time to submit comments in response to multiple requests from interested parties to extend the original deadline.",Notice; extension of comment period.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Institute of Standards and Technology', 'name': 'National Institute of Standards and Technology', 'id': 352, 'url': 'https://www.federalregister.gov/agencies/national-institute-of-standards-and-technology', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/352.json', 'parent_id': 54, 'slug': 'national-institute-of-standards-and-technology'}]","['Commerce Department', 'National Institute of Standards and Technology']",,2019-06-04,,,Artificial Intelligence Standards,[],Notice,Artificial Intelligence
2019-11053,"Pursuant to the Federal Advisory Committee Act, the Assembly of the Administrative Conference of the United States will hold a meeting to consider four proposed recommendations and to conduct other business. This meeting will be open to the public.",Notice.,"[{'raw_name': 'ADMINISTRATIVE CONFERENCE OF THE UNITED STATES', 'name': 'Administrative Conference of the United States', 'id': 566, 'url': 'https://www.federalregister.gov/agencies/administrative-conference-of-the-united-states', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/566.json', 'parent_id': None, 'slug': 'administrative-conference-of-the-united-states'}]",['Administrative Conference of the United States'],,2019-05-28,,,Notice of Public Meeting of the Assembly of the Administrative Conference of the United States,[],Notice,Artificial Intelligence
2019-10011,"Notice is hereby given of the following hearing of the U.S.- China Economic and Security Review Commission. The Commission is mandated by Congress to investigate, assess, and report to Congress annually on ``the national security implications of the economic relationship between the United States and the People's Republic of China.'' Pursuant to this mandate, the Commission will hold a public hearing in Washington, DC on June 7, 2019 on ``Technology, Trade, and Military-Civil Fusion: China's Pursuit of Artificial Intelligence, New Materials, and New Energy.''",Notice of open public hearing.,"[{'raw_name': 'U.S.-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION', 'name': 'U.S.-China Economic and Security Review Commission', 'id': 505, 'url': 'https://www.federalregister.gov/agencies/u-s-china-economic-and-security-review-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/505.json', 'parent_id': None, 'slug': 'u-s-china-economic-and-security-review-commission'}]",['U.S.-China Economic and Security Review Commission'],,2019-05-15,,,Notice of Open Public Hearing,[],Notice,Artificial Intelligence
2019-08330,"We are proposing to revise the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2020 and to implement certain recent legislation. We also are proposing to make changes relating to Medicare graduate medical education (GME) for teaching hospitals and payments to critical access hospital (CAHs). In addition, we are proposing to provide the market basket update that would apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis, subject to these limits for FY 2020. We are proposing to update the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2020. In this proposed rule, we are including proposals to address wage index disparities between high and low wage index hospitals; to provide for an alternative IPPS new technology add-on payment pathway for certain transformative new devices; and to revise the calculation of the IPPS new technology add-on payment. In addition, we are requesting public comments on the substantial clinical improvement criterion used for evaluating applications for both the IPPS new technology add-on payment and the OPPS transitional pass- through payment for devices, and we discuss potential revisions that we are considering adopting as final policies related to the substantial clinical improvement criterion for applications received beginning in FY 2020 for IPPS (that is, for FY 2021 and later new technology add-on payments) and beginning in CY 2020 for the OPPS. We are proposing to establish new requirements or revise existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs). We also are proposing to establish new requirements and revise existing requirements for eligible hospitals and critical access hospitals (CAHs) participating in the Medicare and Medicaid Promoting Interoperability Programs. We are proposing to update policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2019-05-03,False,,Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Proposed Policy Changes and Fiscal Year 2020 Rates; Proposed Quality Reporting Requirements for Specific Providers; Medicare and Medicaid Promoting Interoperability Programs Proposed Requirements for Eligible Hospitals and Critical Access Hospitals,"['Administrative practice and procedure', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Kidney diseases', 'Medicaid', 'Medicare', 'Penalties', 'Privacy', 'Puerto Rico', 'Reporting and recordkeeping requirements']",Proposed Rule,Artificial Intelligence
2019-09056,"The National Institute of Standards and Technology (NIST) will be hosting the second in a series of public workshops on the development of the Privacy Framework: An Enterprise Risk Management Tool (``Privacy Framework'') on May 13-14, 2019 in Atlanta, Georgia. In this two-day event, attendees will have an opportunity to actively engage in facilitated discussions to advance the development of the Privacy Framework. NIST will release a discussion draft of the Privacy Framework prior to the workshop, and will use the breakout sessions at the workshop to inform revisions to the discussion draft.",Notice; public workshop.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Institute of Standards and Technology', 'name': 'National Institute of Standards and Technology', 'id': 352, 'url': 'https://www.federalregister.gov/agencies/national-institute-of-standards-and-technology', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/352.json', 'parent_id': 54, 'slug': 'national-institute-of-standards-and-technology'}]","['Commerce Department', 'National Institute of Standards and Technology']",,2019-05-03,,,Drafting the NIST Privacy Framework: Workshop #2,[],Notice,Artificial Intelligence
2019-09105,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2019-05-02,,Proclamation,"World Intellectual Property Day, 2019",[],Presidential Document,Artificial Intelligence
2019-08818,"The February 11, 2019, Executive Order on Maintaining American Leadership in Artificial Intelligence (AI) directs the National Institute of Standards and Technology (NIST) to create a plan for Federal engagement in the development of technical standards and related tools in support of reliable, robust, and trustworthy systems that use AI technologies (Plan). This notice requests information to help NIST understand the current state, plans, challenges, and opportunities regarding the development and availability of AI technical standards and related tools, as well as priority areas for federal involvement in AI standards-related activities. To assist in developing the Plan, NIST will consult with Federal agencies, the private sector, academia, non-governmental entities, and other stakeholders with interest in and expertise relating to AI.",Notice; Request for Information (RFI).,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Institute of Standards and Technology', 'name': 'National Institute of Standards and Technology', 'id': 352, 'url': 'https://www.federalregister.gov/agencies/national-institute-of-standards-and-technology', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/352.json', 'parent_id': 54, 'slug': 'national-institute-of-standards-and-technology'}]","['Commerce Department', 'National Institute of Standards and Technology']",,2019-05-01,,,Artificial Intelligence Standards,[],Notice,Artificial Intelligence
2019-06425,,"Looking to the requirements set forth in AS 2501.17, as adopted (see AS 1105.A8b(3), as adopted); and","[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2019-04-04,,,Public Company Accounting Oversight Board; Notice of Filing of Proposed Rules on Amendments to Auditing Standards for Auditor's Use of the Work of Specialists,[],Notice,Artificial Intelligence
2019-06545,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2019-04-04,,,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-IMS Global Learning Consortium, Inc.",[],Notice,Artificial Intelligence
2019-06426,,,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2019-04-04,,,"Public Company Accounting Oversight Board; Notice of Filing of Proposed Rules on Auditing Accounting Estimates, Including Fair Value Measurements, and Amendments to PCAOB Auditing Standards",[],Notice,Artificial Intelligence
2019-05116,"The Department of Commerce's internet Policy Task Force (Task Force) will hold a conference at the United States Patent and Trademark Office (USPTO) facility in Alexandria, Virginia, on March 28, 2019, to discuss current initiatives and technologies used to develop a more robust and collaborative digital marketplace for copyrighted works. In the previous public comments and meetings, the Task Force heard from stakeholders that the government can play a useful role by facilitating dialogues between and among industry sectors and by convening stakeholder groups to make recommendations on specific issues. Based on this feedback, the Task Force is organizing this meeting to build on the work of the prior meetings and continue to facilitate constructive, cross-industry dialogue about ways to promote a robust and collaborative online marketplace for copyrighted works.",Notice of public meeting.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'Patent and Trademark Office', 'name': 'Patent and Trademark Office', 'id': 402, 'url': 'https://www.federalregister.gov/agencies/patent-and-trademark-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/402.json', 'parent_id': 54, 'slug': 'patent-and-trademark-office'}, {'raw_name': 'National Telecommunications and Information Administration', 'name': 'National Telecommunications and Information Administration', 'id': 373, 'url': 'https://www.federalregister.gov/agencies/national-telecommunications-and-information-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/373.json', 'parent_id': 54, 'slug': 'national-telecommunications-and-information-administration'}]","['Commerce Department', 'Patent and Trademark Office', 'National Telecommunications and Information Administration']",,2019-03-19,,,Notice of Third Public Meeting on Developing the Digital Marketplace for Copyrighted Works,[],Notice,Artificial Intelligence
2019-02224,"This proposed rule would implement certain provisions of the 21st Century Cures Act, including conditions and maintenance of certification requirements for health information technology (health IT) developers under the ONC Health IT Certification Program (Program), the voluntary certification of health IT for use by pediatric health care providers, and reasonable and necessary activities that do not constitute information blocking. The implementation of these provisions would advance interoperability and support the access, exchange, and use of electronic health information. The proposed rule would also modify the 2015 Edition health IT certification criteria and Program in additional ways to advance interoperability, enhance health IT certification, and reduce burden and costs.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2019-03-04,False,,"21st Century Cures Act: Interoperability, Information Blocking, and the ONC Health IT Certification Program","['Computer technology', 'Health', 'Health care', 'Health insurance', 'Health records', 'Hospitals', 'Laboratories', 'Medicaid', 'Medicare', 'Privacy', 'Public health', 'Reporting and recordkeeping requirements']",Proposed Rule,Artificial Intelligence
2019-02546,The Department of Defense (DoD) is publishing this notice to announce that the following Federal Advisory Committee meeting of the Defense Innovation Board will take place.,Notice of federal advisory committee meeting.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Office of the Secretary'}]","['Defense Department', 'Office of the Secretary']",,2019-02-15,,,Defense Innovation Board; Notice of Federal Advisory Committee Meeting,[],Notice,Artificial Intelligence
2019-02544,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2019-02-14,,Executive Order,Maintaining American Leadership in Artificial Intelligence,[],Presidential Document,Artificial Intelligence
2019-02204,"The Privacy and Civil Liberties Oversight Board will conduct a public forum entitled ``Countering Terrorism while Protecting Privacy and Civil Liberties: Where do We Stand in 2019.'' During the forum, Board Members will hear from governmental and non-governmental experts on privacy and civil liberties and on efforts to protect the nation against terrorism. Members of the public in attendance will have an opportunity to ask questions of the expert presenters.",Notice of public forum; request for public comment.,"[{'raw_name': 'PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD', 'name': 'Privacy and Civil Liberties Oversight Board', 'id': 438, 'url': 'https://www.federalregister.gov/agencies/privacy-and-civil-liberties-oversight-board', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/438.json', 'parent_id': None, 'slug': 'privacy-and-civil-liberties-oversight-board'}]",['Privacy and Civil Liberties Oversight Board'],2019-02-08,2019-02-13,,,Public Forum,[],Notice,Artificial Intelligence
2018-27819,,,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2018-12-26,,,"Joint Industry Plan; Notice of Filing of the Eighteenth Amendment to the National Market System Plan To Address Extraordinary Market Volatility by Cboe BYX Exchange, Inc., Cboe BZX Exchange, Inc., Cboe EDGA Exchange, Inc., Cboe EDGX Exchange, Inc., Chicago Stock Exchange, Inc., Financial Industry Regulatory Authority, Inc., Investors Exchange LLC, NASDAQ BX, Inc., NASDAQ PHLX LLC, The Nasdaq Stock Market LLC, NYSE National, Inc., New York Stock Exchange LLC, NYSE American LLC, and NYSE Arca, Inc.",[],Notice,Artificial Intelligence
2018-24170,"This major final rule addresses changes to the Medicare physician fee schedule (PFS) and other Medicare Part B payment policies to ensure that our payment systems are updated to reflect changes in medical practice and the relative value of services, as well as changes in the statute. This final rule also finalizes policies included in the interim final rule with comment period in ``Medicare Program; CY 2018 Updates to the Quality Payment Program; and Quality Payment Program: Extreme and Uncontrollable Circumstance Policy for the Transition Year'' that address the extreme and uncontrollable circumstances MIPS eligible clinicians faced as a result of widespread catastrophic events affecting a region or locale in CY 2017, such as Hurricanes Irma, Harvey and Maria. In addition, this final rule addresses a subset of the changes to the Medicare Shared Savings Program for Accountable Care Organizations (ACOs) proposed in the August 2018 proposed rule ``Medicare Program; Medicare Shared Savings Program; Accountable Care Organizations--Pathways to Success''. This final rule also addresses certain other revisions designed to update program policies under the Shared Savings Program. The interim final rule implements amendments made by the SUPPORT for Patients and Communities Act to the Medicare telehealth provisions in the Social Security Act and regarding permissible telehealth originating sites for purposes of treatment of a substance use disorder or a co-occurring mental health disorder for telehealth services furnished on or after July 1, 2019 to an individual with a substance use disorder diagnosis.",Final rules and interim final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2019-01-01,2018-11-23,False,,Medicare Program; Revisions to Payment Policies Under the Physician Fee Schedule and Other Revisions to Part B for CY 2019; Medicare Shared Savings Program Requirements; Quality Payment Program; Medicaid Promoting Interoperability Program; Quality Payment Program-Extreme and Uncontrollable Circumstance Policy for the 2019 MIPS Payment Year; Provisions From the Medicare Shared Savings Program-Accountable Care Organizations-Pathways to Success; and Expanding the Use of Telehealth Services for the Treatment of Opioid Use Disorder Under the Substance Use-Disorder Prevention That Promotes Opioid Recovery and Treatment (SUPPORT) for Patients and Communities Act,"['Administrative practice and procedure', 'Biologics', 'Drugs', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Health records', 'Kidney diseases', 'Laboratories', 'Medicaid', 'Medical devices', 'Medicare', 'Penalties', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays']",Rule,Artificial Intelligence
2018-25420,"Under the Federal Advisory Committee Act (FACA), this notice sets forth the announcement of a public meeting of the Consumer Advisory Board (CAB or Board) of the Bureau of Consumer Financial Protection (Bureau). The notice also describes the functions of the Board.",Notice of public meeting.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2018-11-21,,,Consumer Advisory Board Subcommittee Meetings,[],Notice,Artificial Intelligence
2018-25421,"Under the Federal Advisory Committee Act (FACA), this notice sets forth the announcement of a public meeting of the Community Bank Advisory Council (CBAC or Council) of the Bureau of Consumer Financial Protection (Bureau). The notice also describes the functions of the Council.",Notice of public meeting.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2018-11-21,,,Community Bank Advisory Council Meeting,[],Notice,Artificial Intelligence
2018-25419,"Under the Federal Advisory Committee Act (FACA), this notice sets forth the announcement of a public meeting of the Credit Union Advisory Council (CUAC or Council) of the Bureau of Consumer Financial Protection (Bureau). The notice also describes the functions of the Council.",Notice of public meeting.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2018-11-21,,,Credit Union Advisory Council Meeting,[],Notice,Artificial Intelligence
2018-25221,"The Bureau of Industry and Security (BIS) controls the export of dual-use and less sensitive military items through the Export Administration Regulations (EAR), including the Commerce Control List (CCL). As controls on exports of technology are a key component of the effort to protect sensitive U.S. technology, many sensitive technologies are listed on the CCL, often consistent with the lists maintained by the multilateral export control regimes of which the United States is a member. Certain technologies, however, may not yet be listed on the CCL or controlled multilaterally because they are emerging technologies. As such, they have not yet been evaluated for their national security impacts. This advance notice of proposed rulemaking (ANPRM) seeks public comment on criteria for identifying emerging technologies that are essential to U.S. national security, for example because they have potential conventional weapons, intelligence collection, weapons of mass destruction, or terrorist applications or could provide the United States with a qualitative military or intelligence advantage. Comment on this ANPRM will help inform the interagency process to identify and describe such emerging technologies. This interagency process is anticipated to result in proposed rules for new Export Control Classification Numbers (ECCNs) on the CCL.",Advance notice of proposed rulemaking (ANPRM).,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'Bureau of Industry and Security', 'name': 'Industry and Security Bureau', 'id': 241, 'url': 'https://www.federalregister.gov/agencies/industry-and-security-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/241.json', 'parent_id': 54, 'slug': 'industry-and-security-bureau'}]","['Commerce Department', 'Industry and Security Bureau']",,2018-11-19,False,,Review of Controls for Certain Emerging Technologies,[],Proposed Rule,Artificial Intelligence
2018-25119,,,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2018-11-19,,,Advisory Committee for Computer and Information Science and Engineering; Notice of Meeting,[],Notice,Artificial Intelligence
